morphology	lambda	run	distance	dragging
spider	0	1	7.619518	0.436867
spider	0	2	8.511494	0.303000
spider	0	3	7.703231	0.404700
spider	0	4	8.731827	0.331933
spider	0	5	9.816861	0.301200
spider	0	6	7.529365	0.323367
spider	0	7	9.135500	0.339067
spider	0	8	9.202595	0.307433
spider	0	9	8.020559	0.348867
spider	0	10	7.741952	0.417100
spider	0	11	8.270275	0.445167
spider	0	12	8.715813	0.295233
spider	0	13	7.160558	0.376133
spider	0	14	9.321032	0.375767
spider	0	15	9.536069	0.314967
spider	0	16	8.807195	0.313467
spider	0	17	7.628883	0.362200
spider	0	18	9.492961	0.318533
spider	0	19	9.308070	0.381167
spider	0	20	9.527958	0.325367
spider	0	21	9.430272	0.378500
spider	0	22	8.101718	0.342333
spider	0	23	9.395168	0.356433
spider	0	24	7.529681	0.400900
spider	0	25	8.330998	0.342067
spider	0	26	9.016750	0.355333
spider	0	27	7.793336	0.422667
spider	0	28	8.753401	0.324967
spider	0	29	9.163990	0.377133
spider	0	30	6.507783	0.426700
spider	1	1	7.672380	0.274167
spider	1	2	7.394673	0.047700
spider	1	3	6.761102	0.266667
spider	1	4	8.240993	0.299633
spider	1	5	7.639382	0.293833
spider	1	6	8.066109	0.054133
spider	1	7	7.582396	0.295433
spider	1	8	7.044246	0.051933
spider	1	9	7.896613	0.312867
spider	1	10	6.855607	0.301433
spider	1	11	8.397353	0.286167
spider	1	12	7.149721	0.117300
spider	1	13	9.291848	0.186500
spider	1	14	8.777464	0.302200
spider	1	15	7.348790	0.134100
spider	1	16	7.105921	0.334267
spider	1	17	7.139544	0.195967
spider	1	18	7.046390	0.226200
spider	1	19	9.137379	0.317300
spider	1	20	7.126163	0.095933
spider	1	21	6.991509	0.333767
spider	1	22	6.905076	0.296833
spider	1	23	8.253447	0.280467
spider	1	24	7.979155	0.302567
spider	1	25	7.768740	0.290767
spider	1	26	7.752588	0.334833
spider	1	27	7.779876	0.297067
spider	1	28	7.969790	0.276400
spider	1	29	8.882744	0.308767
spider	1	30	8.175627	0.289233
spider	2	1	7.993802	0.246367
spider	2	2	6.127649	0.110667
spider	2	3	6.563985	0.226333
spider	2	4	7.860199	0.202000
spider	2	5	8.311590	0.002767
spider	2	6	7.210643	0.033400
spider	2	7	6.978891	0.053667
spider	2	8	8.361778	0.214100
spider	2	9	6.292089	0.028400
spider	2	10	7.184359	0.199633
spider	2	11	8.331456	0.010900
spider	2	12	6.247489	0.017567
spider	2	13	7.525858	0.012367
spider	2	14	8.925323	0.305933
spider	2	15	6.540602	0.121900
spider	2	16	6.627943	0.280700
spider	2	17	7.725035	0.008867
spider	2	18	7.037357	0.203200
spider	2	19	7.801484	0.206300
spider	2	20	5.756872	0.166267
spider	2	21	7.201321	0.008333
spider	2	22	7.425440	0.006833
spider	2	23	7.653675	0.245600
spider	2	24	6.962331	0.266500
spider	2	25	7.516607	0.278733
spider	2	26	7.445577	0.031100
spider	2	27	6.325366	0.224400
spider	2	28	6.122755	0.228100
spider	2	29	7.453153	0.018200
spider	2	30	7.013942	0.035467
spider	3	1	6.696452	0.260900
spider	3	2	6.893270	0.248933
spider	3	3	6.598870	0.039967
spider	3	4	5.688045	0.008333
spider	3	5	6.941945	0.256600
spider	3	6	7.775434	0.231833
spider	3	7	6.631527	0.005967
spider	3	8	6.451048	0.035467
spider	3	9	6.937174	0.223733
spider	3	10	6.348529	0.020867
spider	3	11	5.956537	0.174800
spider	3	12	5.976788	0.212500
spider	3	13	5.384664	0.198700
spider	3	14	6.848386	0.009900
spider	3	15	6.866392	0.241633
