morphology,coupling,lambda,run_id,f_nat,k,distance_original,distance_capped,dragging_original,dragging_capped
Spider,No coupling,0,1,0.159122,0.998983,1.8371,1.8315,0.4982,0.4983
Spider,No coupling,0,2,0.158927,1.000000,1.3795,1.3795,0.4669,0.4669
Spider,No coupling,0,3,0.159151,0.998800,1.8190,1.8012,0.7272,0.7287
Spider,No coupling,0,4,0.159153,0.998785,1.6695,1.6554,0.6369,0.6363
Spider,No coupling,0,5,0.159100,0.999120,1.7864,1.7799,0.5668,0.5664
Spider,No coupling,0,6,0.158911,1.000000,1.7312,1.7312,0.5150,0.5150
Spider,No coupling,0,7,0.159026,0.999587,1.6411,1.6367,0.6470,0.6467
Spider,No coupling,0,8,0.159083,0.999228,2.0738,2.0659,0.6516,0.6509
Spider,No coupling,0,9,0.158862,1.000000,1.6235,1.6235,0.5967,0.5967
Spider,No coupling,0,10,0.159155,0.998778,1.9858,1.9789,0.6279,0.6284
Spider,No coupling,0,11,0.159061,0.999368,1.5461,1.5381,0.5939,0.5945
Spider,No coupling,0,12,0.159133,0.998917,1.7387,1.7326,0.6401,0.6413
Spider,No coupling,0,13,0.159136,0.998897,1.6525,1.6413,0.5069,0.5076
Spider,No coupling,0,14,0.159145,0.998839,1.6871,1.6744,0.6243,0.6240
Spider,No coupling,0,15,0.159155,0.998777,1.7591,1.7468,0.5355,0.5340
Spider,No coupling,0,16,0.159136,0.998897,1.7387,1.7313,0.5185,0.5178
Spider,No coupling,0,17,0.158665,1.000000,1.5637,1.5637,0.5580,0.5580
Spider,No coupling,0,18,0.159150,0.998808,1.8876,1.8719,0.6019,0.6027
Spider,No coupling,0,19,0.159141,0.998865,1.2501,1.2416,0.7271,0.7281
Spider,No coupling,0,20,0.159155,0.998777,1.6338,1.6246,0.5865,0.5884
Spider,No coupling,0,21,0.159130,0.998933,1.6059,1.5938,0.5996,0.5964
Spider,No coupling,0,22,0.158984,0.999853,1.7812,1.7761,0.5923,0.5919
Spider,No coupling,0,23,0.159077,0.999267,1.8375,1.8209,0.4380,0.4370
Spider,No coupling,0,24,0.159151,0.998803,1.7224,1.7196,0.6103,0.6101
Spider,No coupling,0,25,0.159155,0.998776,1.4558,1.4386,0.5161,0.5171
Spider,No coupling,0,26,0.159142,0.998857,1.7861,1.7752,0.6050,0.6052
Spider,No coupling,0,27,0.159153,0.998787,2.0270,2.0122,0.5777,0.5765
Spider,No coupling,0,28,0.159129,0.998939,1.4410,1.4296,0.5781,0.5780
Spider,No coupling,0,29,0.159152,0.998793,1.6083,1.5920,0.6154,0.6159
Spider,No coupling,0,30,0.159154,0.998784,1.6381,1.6260,0.4359,0.4382
Spider,No coupling,1,1,0.159139,0.998876,1.4613,1.4503,0.4657,0.4673
Spider,No coupling,1,2,0.159153,0.998787,1.3100,1.3024,0.3312,0.3333
Spider,No coupling,1,3,0.158023,1.000000,2.0057,2.0057,0.2893,0.2893
Spider,No coupling,1,4,0.159054,0.999407,1.2925,1.2903,0.3385,0.3409
Spider,No coupling,1,5,0.159147,0.998824,1.9315,1.8869,0.3879,0.3999
Spider,No coupling,1,6,0.158182,1.000000,1.5321,1.5321,0.3764,0.3764
Spider,No coupling,1,7,0.158815,1.000000,1.3621,1.3621,0.4694,0.4694
Spider,No coupling,1,8,0.159154,0.998780,1.8073,1.7998,0.3871,0.3893
Spider,No coupling,1,9,0.159053,0.999414,1.3506,1.3381,0.3208,0.3448
Spider,No coupling,1,10,0.159154,0.998782,1.2358,1.2346,0.4404,0.4415
Spider,No coupling,1,11,0.159127,0.998953,1.6903,1.6923,0.4815,0.4853
Spider,No coupling,1,12,0.156677,1.000000,1.2602,1.2602,0.1915,0.1915
Spider,No coupling,1,13,0.154534,1.000000,1.7216,1.7216,0.4233,0.4233
Spider,No coupling,1,14,0.159154,0.998781,1.5878,1.5808,0.3574,0.3588
Spider,No coupling,1,15,0.159146,0.998830,1.6158,1.6026,0.4663,0.4687
Spider,No coupling,1,16,0.158274,1.000000,1.2323,1.2323,0.3874,0.3874
Spider,No coupling,1,17,0.154499,1.000000,1.0211,1.0211,0.3141,0.3141
Spider,No coupling,1,18,0.159151,0.998802,1.6050,1.5992,0.3816,0.3855
Spider,No coupling,1,19,0.159144,0.998846,1.3585,1.3560,0.4535,0.4558
Spider,No coupling,1,20,0.159147,0.998827,1.6551,1.6396,0.3644,0.3713
Spider,No coupling,1,21,0.159138,0.998883,1.5797,1.5676,0.4468,0.4466
Spider,No coupling,1,22,0.156573,1.000000,1.4182,1.4182,0.3358,0.3358
Spider,No coupling,1,23,0.159066,0.999336,1.9844,1.9802,0.2933,0.2949
Spider,No coupling,1,24,0.159147,0.998828,1.0874,1.0783,0.3389,0.3387
Spider,No coupling,1,25,0.159144,0.998844,1.7453,1.7335,0.2732,0.2749
Spider,No coupling,1,26,0.159145,0.998837,1.2525,1.2527,0.2743,0.2776
Spider,No coupling,1,27,0.159151,0.998798,1.7627,1.7545,0.2779,0.2811
Spider,No coupling,1,28,0.159025,0.999590,1.5228,1.5133,0.3871,0.3877
Spider,No coupling,1,29,0.157120,1.000000,1.2787,1.2787,0.4526,0.4526
Spider,No coupling,1,30,0.158751,1.000000,1.7427,1.7427,0.3409,0.3409
Spider,No coupling,2,1,0.159154,0.998779,1.1633,1.1484,0.2233,0.2276
Spider,No coupling,2,2,0.159052,0.999422,1.4142,1.4089,0.1350,0.1373
Spider,No coupling,2,3,0.159152,0.998793,1.1772,1.1663,0.2965,0.2991
Spider,No coupling,2,4,0.159137,0.998886,1.4569,1.4406,0.3094,0.3119
Spider,No coupling,2,5,0.156264,1.000000,1.5630,1.5630,0.0528,0.0528
