robot,variant,coupling,generation,median,q25,q75,mean,std,n
babya,base,blf,1,1.5199,1.3436,2.0611,1.7266,0.6026,35
babya,base,blf,2,2.0694,1.7705,2.4947,2.2539,0.7657,35
babya,base,blf,3,2.4765,2.1586,3.3954,2.7840,0.8487,35
babya,base,blf,4,2.6625,2.3898,3.5570,2.9886,0.8213,35
babya,base,blf,5,2.9855,2.5484,3.5781,3.1337,0.7491,35
babya,base,blf,6,3.2421,2.7000,3.6584,3.2560,0.7003,35
babya,base,blf,7,3.2834,2.8542,3.7191,3.3574,0.6534,35
babya,base,blf,8,3.5761,2.9549,4.0675,3.5715,0.7291,35
babya,base,blf,9,3.7467,3.1333,4.1473,3.7620,0.8314,35
babya,base,blf,10,3.9454,3.3307,4.2216,3.9023,0.8589,35
babya,base,blf,11,3.9859,3.4252,4.6186,3.9647,0.8844,35
babya,base,blf,12,4.0043,3.4252,4.7070,4.0573,0.9292,35
babya,base,blf,13,4.1937,3.5881,4.8651,4.2296,0.9575,35
babya,base,blf,14,4.2048,3.8236,4.8651,4.3086,0.9105,35
babya,base,blf,15,4.3043,3.9951,5.0641,4.4571,0.9317,35
babya,base,blf,16,4.3043,3.9951,5.0641,4.5142,0.9745,35
babya,base,blf,17,4.3043,3.9951,5.1384,4.6157,1.1268,35
babya,base,blf,18,4.4496,4.0568,5.3612,4.7076,1.1568,35
babya,base,blf,19,4.6238,4.0585,5.5903,4.7594,1.1701,35
babya,base,blf,20,4.6238,4.0585,5.5903,4.7645,1.1633,35
babya,base,blf,21,4.6238,4.1201,5.5903,4.8162,1.1135,35
babya,base,blf,22,4.6238,4.1201,5.5903,4.8473,1.0804,35
babya,base,blf,23,4.7199,4.1659,5.6341,4.9646,1.1272,35
babya,base,blf,24,4.8324,4.1834,5.7866,5.0218,1.1459,35
babya,base,blf,25,4.8831,4.1834,5.7866,5.0462,1.1323,35
babya,base,blf,26,4.8831,4.2055,5.7866,5.0907,1.1373,35
babya,base,blf,27,4.8850,4.2055,6.0101,5.1891,1.1312,35
babya,base,blf,28,5.2204,4.2671,6.0101,5.3164,1.0752,35
babya,base,blf,29,5.2204,4.2671,6.0101,5.3164,1.0752,35
babya,base,blf,30,5.3726,4.3688,6.0101,5.3674,1.0775,35
babya,base,blf,31,5.4233,4.3846,6.1715,5.4235,1.0736,35
babya,base,blf,32,5.5599,4.4390,6.1715,5.4323,1.0688,35
babya,base,blf,33,5.6786,4.5203,6.1715,5.4716,1.0600,35
babya,base,blf,34,5.6786,4.5203,6.1818,5.4945,1.0858,35
babya,base,blf,35,5.6813,4.6074,6.2797,5.5842,1.1531,35
babya,base,blf,36,5.7225,4.7952,6.2797,5.6343,1.1157,35
babya,base,blf,37,5.7265,4.8578,6.2797,5.6970,1.1439,35
babya,base,blf,38,5.7265,4.8840,6.2856,5.7536,1.1421,35
babya,base,blf,39,5.7265,4.9768,6.2856,5.7687,1.1296,35
babya,base,blf,40,5.7644,5.0569,6.3879,5.9258,1.1583,35
babya,base,blf,41,6.0272,5.1789,6.5235,6.0070,1.1720,35
babya,base,blf,42,6.0272,5.1789,6.5235,6.0160,1.1869,35
babya,base,blf,43,6.0914,5.3962,6.6269,6.0770,1.1777,35
babya,base,blf,44,6.0939,5.5185,6.6269,6.1604,1.1311,35
babya,base,blf,45,6.2560,5.5185,6.9137,6.2635,1.1930,35
babya,base,blf,46,6.2721,5.5185,6.9913,6.3154,1.1703,35
babya,base,blf,47,6.2721,5.5185,7.1488,6.3496,1.1974,35
babya,base,blf,48,6.2721,5.6344,7.1488,6.4118,1.2055,35
babya,base,blf,49,6.2721,5.7545,7.1983,6.4720,1.1919,35
babya,base,blf,50,6.2991,5.8266,7.1983,6.5147,1.2245,35
babya,base,blf,51,6.4282,5.8501,7.2439,6.5358,1.2341,35
babya,base,blf,52,6.4900,5.8501,7.2439,6.5626,1.2327,35
babya,base,blf,53,6.4900,5.8501,7.4000,6.6003,1.2552,35
babya,base,blf,54,6.5955,5.8958,7.5627,6.7308,1.2587,35
babya,base,blf,55,6.5955,5.8958,7.5966,6.7359,1.2617,35
babya,base,blf,56,6.5955,5.8958,7.5966,6.7512,1.2758,35
babya,base,blf,57,6.5955,5.9135,7.9034,6.8078,1.2920,35
babya,base,blf,58,6.5955,6.0535,7.9034,6.8527,1.3119,35
babya,base,blf,59,6.6135,6.0535,7.9343,6.8760,1.3151,35
babya,base,blf,60,6.9267,6.0535,7.9343,6.8956,1.3129,35
babya,base,blf,61,7.0129,6.1073,7.9343,6.9508,1.2977,35
babya,base,blf,62,7.0129,6.1073,7.9990,6.9983,1.3034,35
babya,base,blf,63,7.0258,6.1073,7.9990,7.0066,1.3044,35
