robot,variant,coupling,seed,distance,drag_pct,em
babya,base,blf,1,11.4091,9.9333,0.8601
babya,base,blf,2,11.9630,18.1667,0.8603
babya,base,blf,3,11.4108,4.5167,0.8548
babya,base,blf,4,15.2338,16.9500,0.8355
babya,base,blf,5,13.4229,17.7667,0.8835
babya,base,blf,6,14.7601,19.3700,0.8709
babya,base,blf,7,8.3315,2.7033,0.8748
babya,base,blf,8,11.3761,6.1267,0.9060
babya,base,blf,9,17.4412,18.5033,0.9059
babya,base,blf,10,11.8112,12.5367,0.8573
babya,base,blf,11,11.7005,21.1533,0.8974
babya,base,blf,12,11.6202,33.4500,0.8122
babya,base,blf,13,11.8349,17.6000,0.9027
babya,base,blf,14,8.1867,28.0967,0.8371
babya,base,blf,15,14.5873,52.7033,0.8466
babya,base,blf,16,11.9907,23.6267,0.9441
babya,base,blf,17,12.3752,6.9567,0.8088
babya,base,blf,18,11.4680,8.1667,0.8804
babya,base,blf,19,13.2021,8.5500,0.8543
babya,base,blf,20,11.1356,9.9900,0.8834
babya,base,blf,21,11.7856,7.2967,0.9118
babya,base,blf,22,11.7594,20.4233,0.9600
babya,base,blf,23,15.7485,4.8800,0.9384
babya,base,blf,24,11.6389,20.4133,0.9484
babya,base,blf,25,8.5826,3.3300,0.8749
babya,base,blf,26,9.7692,17.8267,0.9197
babya,base,blf,27,11.2134,26.4733,0.8184
babya,base,blf,28,10.7370,8.4500,0.8949
babya,base,blf,29,11.1316,20.4700,0.8804
babya,base,blf,30,10.8703,3.6933,0.8386
babya,base,blf,31,10.3465,5.3233,0.8697
babya,base,blf,32,11.8960,17.3333,0.9343
babya,base,blf,33,10.7051,10.2067,0.8605
babya,base,blf,34,11.5135,17.4000,0.9239
babya,base,blf,35,15.6854,30.4000,0.8901
babya,phi,uncoupled,1,12.8556,18.0700,0.8636
babya,phi,uncoupled,2,12.2586,22.7433,0.8273
babya,phi,uncoupled,3,8.1746,19.2167,0.8934
babya,phi,uncoupled,4,10.7573,0.3267,0.8836
babya,phi,uncoupled,5,18.8316,37.6367,0.8416
babya,phi,uncoupled,6,13.1331,29.4000,0.8506
babya,phi,uncoupled,7,16.3927,27.4933,0.8946
