robot,variant,coupling,n_seeds,distance_mean,distance_std,distance_median,distance_q25,distance_q75,distance_min,distance_max,drag_pct_mean,drag_pct_std,drag_pct_median,drag_pct_q25,drag_pct_q75,drag_pct_min,drag_pct_max,em_mean,em_std,em_median,em_q25,em_q75,em_min,em_max
spider,phi,uncoupled,35,8.8734,0.5082,8.9740,8.6987,9.0917,7.3203,9.9520,16.9377,14.9739,13.0967,3.9783,24.5300,0.4033,57.3400,0.8030,0.0334,0.8042,0.7833,0.8228,0.6932,0.8740
spider,base,blf,35,8.5143,0.4818,8.6269,8.2643,8.8140,7.1474,9.3520,15.6210,15.4497,8.4967,3.5750,28.3183,0.1700,54.3133,0.7875,0.0471,0.7861,0.7636,0.8108,0.7021,0.8900
gecko,phi,uncoupled,35,11.9884,2.4996,13.2321,9.1748,13.6254,6.7680,15.6925,9.9802,7.5212,7.2800,4.4183,13.7133,1.9000,33.3500,0.8939,0.0256,0.8936,0.8774,0.9150,0.8289,0.9370
gecko,base,blf,35,11.1538,2.2218,12.4133,9.1678,13.1515,6.5801,13.7046,7.2622,4.0408,6.8000,3.3500,11.4100,0.1767,13.5533,0.8894,0.0298,0.8873,0.8719,0.9077,0.8236,0.9528
babya,phi,uncoupled,35,13.2158,3.0516,12.3895,11.5666,15.0730,8.1456,18.8316,20.0725,12.7005,20.0367,11.1983,27.7617,0.3267,56.2033,0.8869,0.0316,0.8934,0.8616,0.9085,0.8215,0.9352
babya,base,blf,35,11.9612,2.0420,11.6389,11.1336,12.1829,8.1867,17.4412,15.7368,10.4290,17.3333,7.7317,20.4183,2.7033,52.7033,0.8811,0.0390,0.8804,0.8560,0.9060,0.8088,0.9600
queen,phi,uncoupled,35,9.3558,2.5073,9.8300,7.5526,11.3694,4.9626,13.5304,45.7921,12.4105,45.4100,35.7317,54.2083,24.5800,75.0967,0.8267,0.0818,0.8569,0.7920,0.8855,0.6292,0.9513
queen,base,blf,35,8.7482,2.0491,9.6074,6.8528,10.5684,5.7503,11.3401,50.8820,13.2716,50.8633,42.9233,59.7867,9.8667,72.5267,0.8072,0.0818,0.8379,0.7344,0.8670,0.6454,0.9216
insect,phi,uncoupled,35,7.9626,0.7271,8.2829,7.4268,8.4464,6.5261,9.0293,73.5569,12.8513,68.0933,64.1567,82.1567,57.2633,97.1667,0.8623,0.0336,0.8544,0.8449,0.8923,0.7842,0.9137
insect,base,blf,35,7.4877,0.6844,7.3915,6.8568,8.1474,6.2593,8.5370,80.6433,12.1580,76.1533,70.0800,93.3550,61.9567,97.4933,0.8624,0.0355,0.8596,0.8344,0.8909,0.8017,0.9252
ege,phi,uncoupled,35,7.9692,1.0334,7.9123,7.1710,8.7691,6.2714,10.5875,49.3852,14.4904,50.8567,40.5300,59.3100,17.3867,74.9267,0.8426,0.0789,0.8543,0.7788,0.8961,0.6944,0.9801
ege,base,blf,35,7.6772,0.6834,7.7190,7.1379,8.2699,6.3826,9.2654,47.9693,19.0817,53.8133,33.3833,59.1350,4.3133,80.0500,0.8527,0.0755,0.8500,0.8042,0.9050,0.6790,0.9801
