robot,variant,coupling,terrain,generation,median,q25,q75,mean,std,n
babya,base,blf,flat,1,1.371,1.052,1.6205,1.4396,0.6047799599854479,30
babya,base,blf,flat,10,3.577,3.2127499999999998,4.41325,3.7397666666666667,0.9820438814317163,30
babya,base,blf,flat,20,4.738,3.9217500000000003,6.30325,5.236533333333333,1.5870525648755813,30
babya,base,blf,flat,30,5.8,4.99425,6.6555,6.052266666666667,1.6476848529717822,30
babya,base,blf,flat,40,7.2285,6.2615,8.962,7.652233333333333,2.0712576836197916,30
babya,base,blf,flat,50,8.1235,6.58475,9.74075,8.663666666666668,2.7505819238008944,30
babya,base,blf,flat,60,8.822,7.83075,10.949,9.509933333333333,2.664443992375473,30
babya,base,blf,flat,70,9.867999999999999,8.215,12.128,10.498566666666667,3.001600075400398,30
babya,base,blf,flat,80,10.836,9.19225,13.0715,11.135333333333334,2.8253240196642855,30
babya,base,blf,flat,90,12.113,9.8865,13.96375,12.234866666666667,3.0575501544744017,30
babya,base,blf,flat,100,12.745999999999999,11.42225,14.673,12.963466666666667,3.05274808625948,30
babya,base,blf,flat,110,13.507,12.01025,16.335749999999997,13.841000000000001,3.0508180587485394,30
babya,base,blf,flat,120,14.4355,12.7385,16.82175,14.540166666666666,3.250199920464664,30
babya,base,blf,flat,130,15.338000000000001,13.1635,16.82175,15.108233333333335,3.3788719468682644,30
babya,base,blf,flat,140,16.466,13.746749999999999,18.2315,15.938566666666667,3.4127757605729117,30
babya,base,blf,flat,150,16.845,14.378499999999999,18.420749999999998,16.423,3.4353627324415505,30
babya,base,blf,flat,160,17.09,15.6025,19.6665,17.110400000000002,3.4332999768494576,30
babya,base,blf,flat,170,17.659,16.2175,19.96075,17.796966666666666,3.532733165629727,30
babya,base,blf,flat,180,18.8285,16.826500000000003,21.251,18.6242,3.655556973459296,30
babya,base,blf,flat,190,19.643,17.1915,21.642,19.3218,3.5999396680768285,30
babya,base,blf,flat,200,20.2755,18.0945,22.1785,19.918533333333336,3.6582269186732734,30
babya,base,blf,flat,210,20.8315,18.78325,22.4635,20.42236666666667,3.62945315994433,30
babya,base,blf,flat,220,20.962,19.46725,23.32875,20.918400000000002,3.7930359199004657,30
babya,base,blf,flat,230,21.622999999999998,20.3175,23.82425,21.3765,3.7558390838982882,30
babya,base,blf,flat,240,22.4925,20.7195,24.38075,21.9982,3.7665786487529207,30
babya,base,blf,flat,250,22.975,21.02425,24.7075,22.398666666666667,3.898428032737911,30
babya,base,blf,flat,260,23.4225,21.02425,25.196,22.8662,3.854056845133091,30
babya,base,blf,flat,270,23.97,21.246000000000002,25.87025,23.280966666666664,3.818712578536288,30
babya,base,blf,flat,280,24.4405,21.4045,25.93425,23.590733333333333,3.846400152523569,30
babya,base,blf,flat,290,24.46,22.57675,26.011,23.897766666666666,3.754236078070352,30
babya,base,blf,flat,300,24.9325,23.22925,26.244500000000002,24.227233333333334,3.8348371514525788,30
babya,base,blf,rugged,1,1.2485,1.08725,1.57625,1.3319,0.5152467336642942,30
babya,base,blf,rugged,10,3.803,3.007,4.35,3.7735333333333334,1.0483657144643599,30
babya,base,blf,rugged,20,4.845000000000001,4.22175,5.7844999999999995,5.088933333333333,1.6196277335864249,30
babya,base,blf,rugged,30,5.6775,4.459,6.862,5.8928666666666665,1.9488838491483433,30
babya,base,blf,rugged,40,7.1845,6.066,7.9185,7.1786,1.8581513171002464,30
