robot,variant,coupling,terrain,seed,distance,em,drag_pct
babya,base,blf,flat,1,24.70950848542478,0.9112022790420858,6.023333333333333
babya,base,blf,flat,2,25.71652685007643,0.928226172488422,6.69
babya,base,blf,flat,3,21.10212351379763,0.944044759163666,17.583333333333332
babya,base,blf,flat,4,26.44056243905732,0.9237023410430772,8.503333333333334
babya,base,blf,flat,5,28.73817096869645,0.9680099344969528,10.1
babya,base,blf,flat,6,21.2605144624498,0.9566580272472338,25.563333333333333
babya,base,blf,flat,7,21.85963179314244,0.9541009980013768,36.61
babya,base,blf,flat,8,24.35399394212862,0.952591670150719,4.37
babya,base,blf,flat,9,15.198915034471275,0.9120280070126956,50.09666666666666
babya,base,blf,flat,10,26.803812044105207,0.9649704079622508,9.863333333333332
babya,base,blf,flat,11,25.34076299257013,0.954577076155878,11.903333333333334
babya,base,blf,flat,12,24.21125544900824,0.9474887180802904,37.20666666666666
babya,base,blf,flat,13,24.23921759546456,0.9671879645431049,17.11
babya,base,blf,flat,14,23.0024015736306,0.9459136996710932,14.56
babya,base,blf,flat,15,24.87937031779776,0.9615504555872696,10.2
babya,base,blf,flat,16,11.93689915819862,0.8107603685830251,26.726666666666667
babya,base,blf,flat,17,19.562756733315013,0.9517948160305716,19.57333333333333
babya,base,blf,flat,18,26.507215413145595,0.922833703804742,6.486666666666666
babya,base,blf,flat,19,27.192087500270755,0.9420836225117905,12.696666666666667
babya,base,blf,flat,20,23.911336907229384,0.9173883387739684,5.16
babya,base,blf,flat,21,26.09085994085229,0.9650653904576456,11.703333333333331
babya,base,blf,flat,22,21.234901945813476,0.9675573558958168,43.17666666666667
babya,base,blf,flat,23,27.688350483221523,0.9539967953167636,8.7
babya,base,blf,flat,24,31.88181841131124,0.9710150557249916,7.623333333333333
babya,base,blf,flat,25,25.9484588952712,0.955992870273888,31.94333333333333
babya,base,blf,flat,26,26.283281902335503,0.9642126634287168,7.943333333333333
babya,base,blf,flat,27,26.129427702946717,0.9083250435247758,12.413333333333334
babya,base,blf,flat,28,24.98562012484146,0.9426379087542576,33.96333333333333
babya,base,blf,flat,29,25.62064437533338,0.9435907209092974,4.24
babya,base,blf,flat,30,23.986052040653863,0.9405118873637937,30.80666666666667
babya,base,blf,rugged,1,19.12198304759909,0.8950231275339701,7.1066666666666665
babya,base,blf,rugged,2,21.100271304693724,0.93433267777594,33.06
babya,base,blf,rugged,3,16.987241101695698,0.7937256395271309,29.43
babya,base,blf,rugged,4,18.995978424358515,0.933495552200144,19.346666666666668
babya,base,blf,rugged,5,14.76823696836812,0.9296528379312248,57.45
babya,base,blf,rugged,6,19.1668966348934,0.9299606026791772,32.39666666666667
babya,base,blf,rugged,7,21.446077781537333,0.9099992341416988,3.28
babya,base,blf,rugged,8,16.22161509956041,0.8483782829769113,45.81333333333333
babya,base,blf,rugged,9,14.202476845881906,0.8006513943643079,27.343333333333334
babya,base,blf,rugged,10,21.810852078996444,0.9234350646333024,9.103333333333332
babya,base,blf,rugged,11,18.288825844473163,0.9326305204941716,2.9566666666666666
babya,base,blf,rugged,12,17.58327471840466,0.8919279322833398,23.54
babya,base,blf,rugged,13,22.272878899458085,0.8818942912691139,4.303333333333334
babya,base,blf,rugged,14,23.224818891376565,0.9166421575046896,9.593333333333334
babya,base,blf,rugged,15,19.8678057385271,0.912504183505374,3.56
babya,base,blf,rugged,16,17.872628676186487,0.9025813619535152,8.103333333333333
babya,base,blf,rugged,17,21.975790243893854,0.9359914211585172,23.51
babya,base,blf,rugged,18,18.83574690355807,0.917636800827114,30.796666666666667
babya,base,blf,rugged,19,16.59911581057695,0.8296064168543056,50.736666666666665
babya,base,blf,rugged,20,20.382224056435348,0.9187156287596516,8.066666666666666
babya,base,blf,rugged,21,22.48328385091853,0.9367608249329644,18.39333333333333
babya,base,blf,rugged,22,17.014614967045812,0.8901058250671406,4.3933333333333335
babya,base,blf,rugged,23,24.79540086234497,0.9213306645701326,21.92333333333333
babya,base,blf,rugged,24,15.728014772900826,0.8945818849996224,0.2266666666666666
babya,base,blf,rugged,25,19.66073646790656,0.9350560028890966,24.566666666666663
babya,base,blf,rugged,26,17.887241092830426,0.901277565447708,44.50333333333333
babya,base,blf,rugged,27,23.910897819559345,0.9153611920529028,19.11
babya,base,blf,rugged,28,23.440497248216737,0.9502037003294752,12.513333333333334
babya,base,blf,rugged,29,20.48520015655945,0.9199727459691124,8.133333333333333
babya,base,blf,rugged,30,21.07369351935549,0.919754900000675,24.05333333333333
babya,phi,uncoupled,flat,1,7.748425291039335,0.5392869032283544,38.55
babya,phi,uncoupled,flat,2,14.00554959345652,0.807588228261861,11.886666666666668
babya,phi,uncoupled,flat,3,13.261622025970356,0.8176856924241122,1.23
babya,phi,uncoupled,flat,4,22.050312073843035,0.8749583103053556,0.2433333333333333
babya,phi,uncoupled,flat,5,9.810547761255174,0.6980921377197404,25.46333333333333
babya,phi,uncoupled,flat,6,13.478449298397903,0.7399406649568345,15.293333333333331
babya,phi,uncoupled,flat,7,7.190406957922788,0.7494449974926978,0.1733333333333333
babya,phi,uncoupled,flat,8,8.17306174592679,0.8563741643171598,52.973333333333336
babya,phi,uncoupled,flat,9,7.255729126607404,0.7212157520611361,0.19
babya,phi,uncoupled,flat,10,14.85751898067205,0.6690077876933341,28.906666666666663
babya,phi,uncoupled,flat,11,13.511825058749295,0.7038254808127471,6.243333333333333
babya,phi,uncoupled,flat,12,7.096393428071671,0.5415308301830336,38.46666666666667
babya,phi,uncoupled,flat,13,11.228974947191062,0.7705544786946303,39.4
babya,phi,uncoupled,flat,14,8.38818638311591,0.5375486039189149,6.843333333333334
babya,phi,uncoupled,flat,15,12.011705663922532,0.6568378132822961,11.41
babya,phi,uncoupled,flat,16,13.968219897870432,0.6919430175750605,3.756666666666667
babya,phi,uncoupled,flat,17,12.328928394863103,0.8739361601798102,15.606666666666667
babya,phi,uncoupled,flat,18,10.118083229875156,0.6794355118325958,32.28
babya,phi,uncoupled,flat,19,12.573570564058947,0.7925969156800762,1.1833333333333331
babya,phi,uncoupled,flat,20,9.92098849143132,0.7576211781466924,55.876666666666665
babya,phi,uncoupled,flat,21,7.122026863253168,0.468823644698763,15.916666666666666
babya,phi,uncoupled,flat,22,11.893223999806713,0.8104720408038842,0.9233333333333332
babya,phi,uncoupled,flat,23,9.691898221484577,0.5672633511449816,39.27666666666666
babya,phi,uncoupled,flat,24,9.706837551444364,0.7232579415109016,2.37
babya,phi,uncoupled,flat,25,10.25714720698472,0.7117925955335251,49.08
babya,phi,uncoupled,flat,26,10.608617605494134,0.737472818100776,40.09333333333333
babya,phi,uncoupled,flat,27,12.19567254526153,0.6529850449452836,17.933333333333334
babya,phi,uncoupled,flat,28,5.100576813186756,0.4917621865177168,63.02
babya,phi,uncoupled,flat,29,13.392396655420248,0.8860284858842055,18.11
babya,phi,uncoupled,flat,30,13.19948636787396,0.8336205304118082,21.006666666666668
babya,phi,uncoupled,rugged,1,7.71243267157426,0.5756494531418013,4.256666666666667
babya,phi,uncoupled,rugged,2,11.077646098649224,0.8170773208582861,9.58
babya,phi,uncoupled,rugged,3,10.349574917897026,0.7764207350033357,24.626666666666665
babya,phi,uncoupled,rugged,4,10.425956810314757,0.8279321605081739,17.233333333333334
babya,phi,uncoupled,rugged,5,13.154245056990368,0.7880838902896342,13.626666666666669
babya,phi,uncoupled,rugged,6,15.308729344042035,0.8921611461046028,2.2066666666666666
babya,phi,uncoupled,rugged,7,13.611950251714712,0.8323651308806912,10.413333333333334
babya,phi,uncoupled,rugged,8,10.730834873694151,0.8143789845643465,38.53666666666667
babya,phi,uncoupled,rugged,9,12.219679591892676,0.8234418308933469,14.71
babya,phi,uncoupled,rugged,10,13.500020099523704,0.7362400192885532,7.12
babya,phi,uncoupled,rugged,11,9.898250223641618,0.7140291567742673,23.696666666666665
babya,phi,uncoupled,rugged,12,10.730585264449475,0.7497117194142915,18.936666666666667
babya,phi,uncoupled,rugged,13,13.792306941974193,0.8817686622778267,0.0
babya,phi,uncoupled,rugged,14,7.929944768292666,0.6838630457192828,29.006666666666668
babya,phi,uncoupled,rugged,15,13.214344914150418,0.7485759442520162,13.41
babya,phi,uncoupled,rugged,16,18.248446984141864,0.8542455988421304,6.1433333333333335
babya,phi,uncoupled,rugged,17,9.397913558950105,0.5939271379476269,0.37
babya,phi,uncoupled,rugged,18,13.319458876650325,0.8216353296554769,32.89666666666667
babya,phi,uncoupled,rugged,19,11.213605061109748,0.7135891385560221,35.413333333333334
babya,phi,uncoupled,rugged,20,13.64513969533306,0.807914050037888,18.59
babya,phi,uncoupled,rugged,21,10.273803691426066,0.7910410525226499,7.1466666666666665
babya,phi,uncoupled,rugged,22,8.602792695755879,0.6350703270419839,29.523333333333333
babya,phi,uncoupled,rugged,23,16.80778535058734,0.8233579025711913,26.066666666666663
babya,phi,uncoupled,rugged,24,8.542528344629806,0.5616742511756458,0.0
babya,phi,uncoupled,rugged,25,12.63479716683309,0.8545807397746005,1.6733333333333331
babya,phi,uncoupled,rugged,26,14.263161441201657,0.8101270513770141,6.613333333333333
babya,phi,uncoupled,rugged,27,7.988268622624103,0.6238929110214952,28.39
babya,phi,uncoupled,rugged,28,9.03992351359016,0.7088206147678808,28.4
babya,phi,uncoupled,rugged,29,8.246525459483742,0.6534332452441687,17.143333333333334
babya,phi,uncoupled,rugged,30,8.952749727624562,0.6727307920478474,24.036666666666665
ege,base,blf,flat,1,6.644662075404376,0.57403518843269,14.793333333333331
ege,base,blf,flat,2,7.571150942422376,0.581897425454718,49.09666666666666
ege,base,blf,flat,3,12.59884702975652,0.7152683436306557,30.946666666666665
ege,base,blf,flat,4,8.359511920726838,0.6537248151981189,15.616666666666667
ege,base,blf,flat,5,7.074444044310265,0.6172555916282835,15.23
ege,base,blf,flat,6,14.810954670362332,0.8865501881671038,10.093333333333334
ege,base,blf,flat,7,6.847171895336606,0.6064296768877084,23.33333333333333
ege,base,blf,flat,8,12.885011640833532,0.7329091632306641,40.41
ege,base,blf,flat,9,4.623438871964424,0.6735873156102575,5.726666666666667
ege,base,blf,flat,10,10.558222902169286,0.729142294060019,16.55666666666667
ege,base,blf,flat,11,8.204947114568483,0.6313422504683458,14.776666666666667
ege,base,blf,flat,12,17.256286338110108,0.9241753276648608,44.36
ege,base,blf,flat,13,10.611558688300212,0.6569121361250023,14.596666666666666
ege,base,blf,flat,14,11.221107777333016,0.7063265660975185,52.45666666666666
ege,base,blf,flat,15,13.155216503239192,0.8725912226894362,4.49
ege,base,blf,flat,16,12.107286211231743,0.8508318675115539,0.4966666666666666
ege,base,blf,flat,17,10.48630529271893,0.7498131942669706,14.953333333333331
ege,base,blf,flat,18,11.350255856299029,0.7856422545742471,56.43
ege,base,blf,flat,19,11.75338330542991,0.752884434316449,24.626666666666665
ege,base,blf,flat,20,10.434247745101027,0.6219114658791709,15.7
ege,base,blf,flat,21,8.45121902398627,0.8060033455500123,27.01
ege,base,blf,flat,22,15.308622688520934,0.8411820880934409,3.1566666666666667
ege,base,blf,flat,23,7.2172299553652515,0.6018702369989394,59.82333333333333
ege,base,blf,flat,24,7.029237268677828,0.6137780073508797,54.09666666666666
ege,base,blf,flat,25,15.621400887192673,0.903152123151058,41.02333333333333
ege,base,blf,flat,26,9.008979779326628,0.6247361362116214,44.57333333333333
