robot,variant,coupling,terrain,n_seeds,distance_mean,distance_std,distance_median,distance_q25,distance_q75,distance_min,distance_max,drag_pct_mean,drag_pct_std,drag_pct_median,drag_pct_q25,drag_pct_q75,drag_pct_min,drag_pct_max,em_mean,em_std,em_median,em_q25,em_q75,em_min,em_max
babya,base,blf,flat,30,24.2272,3.8349,24.9325,23.2296,26.2448,11.9369,31.8818,17.6513,12.8553,12.1583,8.0833,26.4358,4.24,50.0967,0.9417,0.0308,0.9496,0.9313,0.9603,0.8108,0.971
babya,base,blf,rugged,30,19.5735,2.7743,19.4138,17.6556,21.7197,14.2025,24.7954,20.2438,15.3812,19.2283,8.0758,28.9083,0.2267,57.45,0.9041,0.0388,0.9171,0.8947,0.9299,0.7937,0.9502
babya,phi,uncoupled,flat,30,11.0715,3.3052,10.9188,8.7141,13.2461,5.1006,22.0503,21.7902,18.9929,16.925,4.3783,38.5292,0.1733,63.02,0.7121,0.1162,0.7222,0.6599,0.8038,0.4688,0.886
babya,phi,uncoupled,rugged,30,11.4944,2.7358,10.9042,9.1294,13.4549,7.7124,18.2484,16.3256,11.5412,15.9267,6.74,25.7067,0.0,38.5367,0.7529,0.093,0.7823,0.6901,0.8229,0.5617,0.8922
ege,base,blf,flat,30,10.4972,3.0658,10.5223,8.2436,12.476,4.6234,17.2563,27.863,18.8024,21.8383,14.7808,44.52,0.4967,59.8233,0.7279,0.1113,0.7222,0.6264,0.8009,0.574,0.9589
ege,base,blf,rugged,30,9.4095,2.0741,9.2687,7.8718,10.6606,5.0825,14.0881,35.3779,16.5329,35.3467,23.7867,48.5583,4.51,62.1733,0.7268,0.1037,0.774,0.6157,0.8132,0.5707,0.8718
ege,phi,uncoupled,flat,30,8.3003,1.8404,8.1682,6.9144,9.6867,5.1045,11.717,32.2909,14.4458,30.2167,21.7567,38.1442,10.9667,65.8367,0.6114,0.0881,0.5977,0.5384,0.6721,0.4702,0.8705
ege,phi,uncoupled,rugged,30,7.2689,1.7242,6.7681,5.888,8.4064,4.8135,11.2652,32.313,15.2151,26.7883,21.7425,40.9292,10.19,62.7733,0.5873,0.1133,0.5499,0.5098,0.666,0.394,0.8072
gecko,base,blf,flat,30,19.1581,3.6678,19.6303,17.3355,21.6127,11.7723,25.4461,7.2536,5.3544,5.5,3.2608,11.4575,0.3933,17.8167,0.9646,0.019,0.9693,0.9601,0.9758,0.912,0.9857
gecko,base,blf,rugged,30,16.9526,2.2648,17.7416,16.2686,18.5188,10.5244,19.1431,11.9184,5.796,13.5083,7.7283,16.1425,1.67,21.7033,0.9436,0.0216,0.9487,0.936,0.9556,0.8684,0.9738
gecko,phi,uncoupled,flat,30,9.4822,3.6221,8.5679,6.5169,12.1634,4.7622,21.2507,14.578,19.1492,6.8317,1.165,11.6783,0.17,53.3167,0.7866,0.1603,0.8335,0.6066,0.9368,0.5408,0.9741
gecko,phi,uncoupled,rugged,30,10.5233,3.0413,9.9712,7.6337,12.1809,6.5574,17.7816,10.2953,7.8018,9.525,4.6842,13.5208,0.32,32.6367,0.8725,0.0704,0.8862,0.8288,0.9322,0.7282,0.9589
insect,base,blf,flat,30,15.7448,2.9168,16.0094,13.6574,18.0777,10.7063,21.1787,60.5788,11.6838,59.3783,52.5708,64.4258,42.4133,86.5567,0.9111,0.0232,0.9074,0.894,0.9297,0.8674,0.9615
insect,base,blf,rugged,30,13.24,2.0873,14.0436,11.201,15.0246,9.6077,16.0323,60.3277,11.6959,58.9717,50.6392,66.8867,44.2233,85.3333,0.8665,0.0382,0.8649,0.842,0.9009,0.7874,0.9281
insect,phi,uncoupled,flat,30,10.5408,2.4258,10.5714,9.3519,11.3854,4.9157,15.895,59.6738,10.8328,57.5667,50.6892,64.8575,43.8067,85.7533,0.8549,0.0713,0.8742,0.8314,0.9027,0.6482,0.9479
insect,phi,uncoupled,rugged,30,9.3749,2.0432,9.5099,8.0466,10.2713,4.0481,13.0363,64.8858,11.3011,62.8583,56.7517,72.8292,48.5267,89.3833,0.8035,0.0938,0.8223,0.7978,0.853,0.3929,0.8808
queen,base,blf,flat,30,15.5256,4.2318,17.1037,11.5568,19.0501,7.7484,20.9879,46.7693,8.6021,46.59,40.5225,51.6575,25.7367,62.0533,0.8834,0.0787,0.919,0.829,0.9367,0.6857,0.9671
queen,base,blf,rugged,30,13.5113,3.1834,14.5877,10.4732,15.7025,7.1152,18.2395,52.8136,6.7703,53.5667,46.3533,57.3233,41.19,64.64,0.8505,0.0713,0.8789,0.7974,0.9032,0.6423,0.9243
queen,phi,uncoupled,flat,30,9.4465,5.3823,5.9306,4.8863,14.4838,3.5713,19.4512,54.3044,10.5951,52.3583,46.2608,63.0283,32.17,76.04,0.6734,0.2096,0.6677,0.4582,0.8801,0.4318,0.9379
queen,phi,uncoupled,rugged,30,7.4447,3.3456,7.1419,4.5815,9.8851,2.4898,15.1932,56.5108,11.3932,59.4383,48.0967,64.025,27.9733,74.3767,0.617,0.1911,0.7081,0.4273,0.7834,0.3396,0.8774
spider,base,blf,flat,30,16.034,2.6461,16.2817,14.006,17.4766,10.4958,20.8549,24.3701,17.6062,23.3683,7.2742,39.5975,0.5467,54.6167,0.8673,0.0553,0.87,0.8329,0.915,0.7369,0.9491
spider,base,blf,rugged,30,13.2579,1.8001,13.203,11.6166,14.5751,10.4394,16.5712,30.2418,20.2849,39.825,7.3517,45.5483,1.0333,57.2667,0.8465,0.0536,0.8536,0.7999,0.894,0.7507,0.9241
spider,phi,uncoupled,flat,30,9.1344,2.6983,9.3006,7.0877,10.896,4.1607,14.1068,25.3141,16.2181,23.6783,16.6242,36.0167,0.2133,59.9333,0.675,0.1777,0.7359,0.5109,0.8324,0.3122,0.9211
spider,phi,uncoupled,rugged,30,9.3734,1.9867,9.4871,8.2007,10.5653,4.9013,14.0085,28.0522,15.1716,30.675,15.8967,40.7683,2.2867,52.2433,0.7024,0.1239,0.7559,0.6256,0.7867,0.409,0.8556
