robot,variant,coupling,terrain,generation,median,q25,q75,mean,std,n
babya,base,blf,flat,1,1.494,1.24425,1.7045,1.4776,0.3453597801970834,10
babya,base,blf,flat,10,3.722,3.3402499999999997,4.50925,3.8406,0.7217542210167915,10
babya,base,blf,flat,20,4.6465,4.51775,4.9025,5.2954,1.837614528554766,10
babya,base,blf,flat,30,5.7115,5.14925,6.6365,6.1954,1.4222687041015374,10
babya,base,blf,flat,40,6.7170000000000005,5.7995,9.220749999999999,7.6233,2.4055959321733336,10
babya,base,blf,flat,50,8.1475,6.3725,11.154499999999999,8.8765,3.016831827891269,10
babya,base,blf,flat,60,8.5715,6.7395000000000005,11.648,9.3002,2.94380274852481,10
babya,base,blf,flat,70,9.902999999999999,7.97,13.08475,10.6971,3.8155026303518937,10
babya,base,blf,flat,80,10.498999999999999,9.8865,13.367249999999999,11.2735,3.4877213908223808,10
babya,base,blf,flat,90,12.8555,9.8865,14.3295,12.3006,3.8812457965624048,10
babya,base,blf,flat,100,13.7105,10.30075,15.20475,13.116200000000001,3.997467414918267,10
babya,base,blf,flat,110,14.25,12.20725,16.063499999999998,14.005500000000001,4.039515269325158,10
babya,base,blf,flat,120,14.922,13.04175,17.07825,14.6274,4.316426407728197,10
babya,base,blf,flat,130,15.591,13.3125,17.6625,15.080400000000001,4.600805707216462,10
babya,base,blf,flat,140,15.711,13.57425,19.206500000000002,15.7046,4.499879015657593,10
babya,base,blf,flat,150,15.711,14.378499999999999,19.642500000000002,16.3825,4.37316677147249,10
babya,base,blf,flat,160,16.5945,15.67625,20.582250000000002,17.1372,4.086525196028746,10
babya,base,blf,flat,170,17.854,16.05425,21.3265,17.9558,4.172464520853087,10
babya,base,blf,flat,180,19.4375,16.81675,21.35525,19.0619,3.934922714192321,10
babya,base,blf,flat,190,19.643,17.13075,21.908749999999998,19.6172,3.6186020566573007,10
babya,base,blf,flat,200,20.195999999999998,18.398,22.4975,20.1924,3.550289697099849,10
babya,base,blf,flat,210,20.243000000000002,19.04725,22.731,20.3702,3.4940129682389887,10
babya,base,blf,flat,220,20.4295,19.73075,23.2085,20.7023,3.601860354193525,10
babya,base,blf,flat,230,20.686999999999998,20.3175,23.82425,21.0417,3.6578570851737156,10
babya,base,blf,flat,240,21.486,20.7195,24.463250000000002,21.6794,3.4703426407841116,10
babya,base,blf,flat,250,22.218,20.74725,24.618750000000002,22.0136,3.6761628001672255,10
babya,base,blf,flat,260,22.880499999999998,20.8725,25.123,22.4593,3.719398728289292,10
babya,base,blf,flat,270,24.2165,21.03575,25.6495,22.977600000000002,3.7204687637745626,10
babya,base,blf,flat,280,24.478,21.08475,25.78875,23.232499999999998,3.8256723809896043,10
babya,base,blf,flat,290,24.532,21.283250000000002,25.988500000000002,23.431,3.814892513412258,10
babya,base,blf,flat,300,24.532,21.41075,26.259999999999998,23.6186,3.8920162212748624,10
babya,base,blf,rugged,1,1.326,1.23225,1.73725,1.3724,0.3982668563775913,10
babya,base,blf,rugged,10,3.5385,3.087,4.22775,3.6707,0.8095130291999285,10
babya,base,blf,rugged,20,4.3205,3.668,4.87475,4.2116999999999996,0.887908535079299,10
babya,base,blf,rugged,30,5.1370000000000005,3.82775,5.885,5.0907,1.4413638641539785,10
babya,base,blf,rugged,40,7.0525,6.2105,7.49475,6.830500000000001,1.460972982486519,10
babya,base,blf,rugged,50,7.4965,6.897,8.751,7.6245,1.776243179672573,10
babya,base,blf,rugged,60,8.0315,7.0515,8.83925,8.1232,1.6312901370115347,10
babya,base,blf,rugged,70,8.729,8.324,10.08075,9.0071,1.6805178732230794,10
babya,base,blf,rugged,80,9.337,8.86,10.370000000000001,9.523399999999999,1.8876967859154596,10
babya,base,blf,rugged,90,10.4575,9.068249999999999,11.72025,10.124500000000001,2.150221448543795,10
babya,base,blf,rugged,100,10.469000000000001,9.068249999999999,12.11225,10.5039,1.8854636594512002,10
babya,base,blf,rugged,110,10.561499999999999,9.32575,12.70625,10.8176,2.08058566541037,10
babya,base,blf,rugged,120,10.999500000000001,9.916,13.1415,11.3521,2.23268281321921,10
babya,base,blf,rugged,130,11.5915,10.09,13.55175,11.6161,2.2110793970366607,10
babya,base,blf,rugged,140,11.741,10.17625,13.833499999999999,11.9449,2.4544742116297646,10
babya,base,blf,rugged,150,12.5075,11.0405,14.77725,12.8834,2.109938872205649,10
babya,base,blf,rugged,160,12.678999999999998,11.40025,15.44675,13.231799999999998,2.2299059172978577,10
babya,base,blf,rugged,170,13.679,12.396,15.61325,13.738999999999999,2.1023989472346423,10
babya,base,blf,rugged,180,15.224499999999999,12.622,16.36875,14.493500000000001,2.2639457811528954,10
babya,base,blf,rugged,190,15.3185,13.52075,16.87325,15.059800000000001,2.3655041182237095,10
babya,base,blf,rugged,200,16.3485,13.83975,16.9525,15.507200000000001,2.3825034359308317,10
babya,base,blf,rugged,210,16.547,14.37775,17.23,16.0228,2.4241320462750733,10
babya,base,blf,rugged,220,17.116999999999997,14.37775,17.71575,16.3595,2.4554684662786634,10
babya,base,blf,rugged,230,17.1605,15.17325,18.31475,16.7877,2.618576545037823,10
babya,base,blf,rugged,240,17.290999999999997,15.3385,18.538999999999998,17.0349,2.713720179220973,10
babya,base,blf,rugged,250,17.541,15.82525,18.54975,17.3434,2.6347764062840526,10
babya,base,blf,rugged,260,18.448999999999998,15.82525,18.6345,17.605600000000003,2.693391839298545,10
babya,base,blf,rugged,270,18.543,16.0045,18.935,17.7339,2.7612441016485456,10
babya,base,blf,rugged,280,18.694499999999998,16.0045,19.455,17.8654,2.798221744846776,10
babya,base,blf,rugged,290,19.058999999999997,16.24075,19.8045,18.1115,2.8341231546204115,10
babya,base,blf,rugged,300,19.058999999999997,16.41325,20.616750000000003,18.3821,2.73291669385577,10
babya,phi,uncoupled,flat,1,0.951,0.78825,1.0825,0.9602,0.18451184846026072,10
babya,phi,uncoupled,flat,10,2.0905,1.91575,2.479,2.2181,0.4527865452457213,10
babya,phi,uncoupled,flat,20,2.7855,2.3555,3.1567499999999997,2.7748999999999997,0.5088565504038332,10
babya,phi,uncoupled,flat,30,2.989,2.7985,3.4612499999999997,3.1292,0.5046758695770318,10
babya,phi,uncoupled,flat,40,3.318,2.9515,3.69775,3.5446,0.9974533350265342,10
babya,phi,uncoupled,flat,50,3.8295,3.3255,4.05075,3.9578,1.0010680740533529,10
babya,phi,uncoupled,flat,60,3.9725,3.76075,4.3075,4.2252,0.823619491431976,10
babya,phi,uncoupled,flat,70,4.099500000000001,3.76075,4.538,4.293200000000001,0.8236928769605548,10
babya,phi,uncoupled,flat,80,4.428,3.9325,5.034,4.660500000000001,0.9252578319341888,10
babya,phi,uncoupled,flat,90,4.5765,3.95575,5.56375,4.8016,0.9720064243043297,10
babya,phi,uncoupled,flat,100,4.752000000000001,4.00075,5.60175,4.8777,0.9528038214775495,10
babya,phi,uncoupled,flat,110,4.752000000000001,4.2475000000000005,5.97525,5.088,1.0562155714310093,10
babya,phi,uncoupled,flat,120,5.661,4.416,6.449249999999999,5.7149,1.4785711909362589,10
babya,phi,uncoupled,flat,130,6.469,5.20275,6.7395,6.308400000000001,1.5098888259294674,10
babya,phi,uncoupled,flat,140,6.545,5.6655,6.7395,6.4504,1.3724264157566577,10
babya,phi,uncoupled,flat,150,7.1705000000000005,6.37875,7.87775,7.043899999999999,1.3749149832302763,10
babya,phi,uncoupled,flat,160,7.9565,6.771,8.5235,7.617,1.5471876995949065,10
babya,phi,uncoupled,flat,170,8.3765,6.9705,8.71175,7.9815,1.8251334350001795,10
babya,phi,uncoupled,flat,180,8.3765,7.032500000000001,9.970749999999999,8.491200000000001,2.2000447874228986,10
babya,phi,uncoupled,flat,190,8.546,7.0575,10.06225,8.6326,2.1543364123965825,10
babya,phi,uncoupled,flat,200,9.2775,7.19125,10.638,8.9752,2.228521273550393,10
babya,phi,uncoupled,flat,210,9.4885,7.28775,10.638,9.419799999999999,2.819224668828884,10
babya,phi,uncoupled,flat,220,9.5365,7.326499999999999,10.6955,9.5771,2.827812521288417,10
babya,phi,uncoupled,flat,230,10.017,7.35125,11.001249999999999,9.7884,2.8275393778572444,10
babya,phi,uncoupled,flat,240,10.2385,7.362,11.369,9.9566,2.8115461622072333,10
babya,phi,uncoupled,flat,250,10.4905,7.387499999999999,12.117,10.4024,3.336506529623795,10
babya,phi,uncoupled,flat,260,10.741499999999998,7.4182500000000005,12.601750000000001,10.6971,3.594895809029488,10
babya,phi,uncoupled,flat,270,10.8035,7.449,12.812999999999999,10.9399,3.8972577096665755,10
babya,phi,uncoupled,flat,280,11.043,7.64275,13.42925,11.373000000000001,4.331557071846874,10
babya,phi,uncoupled,flat,290,11.4475,7.647,13.49025,11.4968,4.410418644779906,10
babya,phi,uncoupled,flat,300,11.5365,7.85425,13.874,11.7832,4.71004359026774,10
babya,phi,uncoupled,rugged,1,0.9405,0.7215,1.1680000000000001,0.9791000000000001,0.30940245276626005,10
babya,phi,uncoupled,rugged,10,1.928,1.80325,2.0545,1.9377000000000002,0.33300852508273393,10
babya,phi,uncoupled,rugged,20,2.7800000000000002,2.20825,3.1265,2.7745,0.6417296505885046,10
babya,phi,uncoupled,rugged,30,3.126,2.6319999999999997,3.3674999999999997,3.085,0.641387385109637,10
babya,phi,uncoupled,rugged,40,3.7765,3.29425,4.03925,3.6234,0.6657120164822692,10
babya,phi,uncoupled,rugged,50,3.8895,3.29425,4.36,3.7719,0.7571334023069443,10
babya,phi,uncoupled,rugged,60,3.945,3.29425,4.586749999999999,3.9839999999999995,0.9037685298546061,10
babya,phi,uncoupled,rugged,70,4.412,3.66125,4.77,4.3448,0.8648881494800995,10
babya,phi,uncoupled,rugged,80,4.531000000000001,3.72425,5.24,4.6963,1.308801916087975,10
babya,phi,uncoupled,rugged,90,4.577,3.7895,5.5680000000000005,4.9209000000000005,1.5215079106669878,10
babya,phi,uncoupled,rugged,100,5.585,4.108,6.67075,5.581799999999999,1.6211864516800993,10
babya,phi,uncoupled,rugged,110,6.503,4.65025,7.1445,6.0479,1.6510551811223968,10
babya,phi,uncoupled,rugged,120,6.601,4.9967500000000005,7.1445,6.2405,1.4265537533199057,10
babya,phi,uncoupled,rugged,130,6.811999999999999,4.9967500000000005,7.306,6.34,1.4764541607814612,10
babya,phi,uncoupled,rugged,140,7.3585,5.29075,8.29325,6.876399999999999,1.632943504500045,10
babya,phi,uncoupled,rugged,150,7.5395,6.10325,8.29325,7.102500000000001,1.6257144241498533,10
babya,phi,uncoupled,rugged,160,7.846500000000001,6.16625,8.35025,7.338299999999999,1.8070988443727516,10
babya,phi,uncoupled,rugged,170,8.468499999999999,6.16625,9.283999999999999,7.6761,1.9551537848011398,10
babya,phi,uncoupled,rugged,180,8.912500000000001,6.30025,9.433250000000001,7.9213,1.9872033419411872,10
babya,phi,uncoupled,rugged,190,9.104,6.7755,9.4445,8.2357,1.950813337502534,10
babya,phi,uncoupled,rugged,200,9.249500000000001,6.844,9.8515,8.6072,1.921007073848969,10
babya,phi,uncoupled,rugged,210,9.3565,7.41325,10.172,8.935500000000001,1.7785847838473525,10
babya,phi,uncoupled,rugged,220,9.607,8.571000000000002,10.558250000000001,9.410599999999999,1.784784655544379,10
babya,phi,uncoupled,rugged,230,10.321,9.425,10.85875,9.8573,1.8703001571346183,10
babya,phi,uncoupled,rugged,240,10.5535,9.4645,11.69625,10.2896,1.9019747749232754,10
babya,phi,uncoupled,rugged,250,10.811,9.5275,11.80175,10.4466,1.985121054243292,10
babya,phi,uncoupled,rugged,260,10.896,9.789,11.9655,10.7948,1.964806792876423,10
babya,phi,uncoupled,rugged,270,10.9085,10.008,12.23175,10.981100000000001,2.0282283155502983,10
babya,phi,uncoupled,rugged,280,11.096,10.2495,12.360499999999998,11.2613,1.91139013111749,10
babya,phi,uncoupled,rugged,290,11.494,10.438,13.11075,11.6739,2.1230165357601694,10
babya,phi,uncoupled,rugged,300,11.649000000000001,10.50225,13.413499999999999,11.8092,2.1822887984865793,10
ege,base,blf,flat,1,0.9675,0.9315,1.319,1.1068,0.2400299981252343,10
ege,base,blf,flat,10,2.029,1.7814999999999999,2.23125,2.053,0.3947077681300714,10
ege,base,blf,flat,20,2.2489999999999997,2.045,3.0092499999999998,2.5335,0.7515161342246753,10
ege,base,blf,flat,30,2.5895,2.4145,3.38075,2.9044999999999996,0.7222080725109628,10
ege,base,blf,flat,40,2.9284999999999997,2.54025,3.5895,3.2177999999999995,1.0450295902243365,10
ege,base,blf,flat,50,3.585,3.2315,3.7279999999999998,3.6051,0.9382530397854657,10
ege,base,blf,flat,60,3.8895,3.30125,4.39175,3.9191000000000003,1.1321022185886456,10
ege,base,blf,flat,70,4.1455,3.32375,5.0200000000000005,4.3329,1.3428058062628914,10
ege,base,blf,flat,80,4.274,3.37175,6.1045,4.7091,1.5113659348049662,10
ege,base,blf,flat,90,5.234999999999999,3.674,6.328250000000001,5.0922,1.4715800880535033,10
ege,base,blf,flat,100,5.4825,4.09025,6.7490000000000006,5.4433,1.5786340825747642,10
ege,base,blf,flat,110,5.545,4.13225,6.7490000000000006,5.5409,1.6481053398102659,10
