robot,variant,coupling,terrain,seed,distance,em,drag_pct
babya,base,blf,flat,1,24.70950848542478,0.9112022790420858,6.023333333333333
babya,base,blf,flat,2,25.71652685007643,0.928226172488422,6.69
babya,base,blf,flat,3,21.10212351379763,0.944044759163666,17.583333333333332
babya,base,blf,flat,4,26.44056243905732,0.9237023410430772,8.503333333333334
babya,base,blf,flat,5,28.73817096869645,0.9680099344969528,10.1
babya,base,blf,flat,6,21.2605144624498,0.9566580272472338,25.563333333333333
babya,base,blf,flat,7,21.85963179314244,0.9541009980013768,36.61
babya,base,blf,flat,8,24.35399394212862,0.952591670150719,4.37
babya,base,blf,flat,9,15.198915034471275,0.9120280070126956,50.09666666666666
babya,base,blf,flat,10,26.803812044105207,0.9649704079622508,9.863333333333332
babya,base,blf,rugged,1,19.12198304759909,0.8950231275339701,7.1066666666666665
babya,base,blf,rugged,2,21.100271304693724,0.93433267777594,33.06
babya,base,blf,rugged,3,16.987241101695698,0.7937256395271309,29.43
babya,base,blf,rugged,4,18.995978424358515,0.933495552200144,19.346666666666668
babya,base,blf,rugged,5,14.76823696836812,0.9296528379312248,57.45
babya,base,blf,rugged,6,19.1668966348934,0.9299606026791772,32.39666666666667
babya,base,blf,rugged,7,21.446077781537333,0.9099992341416988,3.28
babya,base,blf,rugged,8,16.22161509956041,0.8483782829769113,45.81333333333333
babya,base,blf,rugged,9,14.202476845881906,0.8006513943643079,27.343333333333334
babya,base,blf,rugged,10,21.810852078996444,0.9234350646333024,9.103333333333332
babya,phi,uncoupled,flat,1,7.748425291039335,0.5392869032283544,38.55
babya,phi,uncoupled,flat,2,14.00554959345652,0.807588228261861,11.886666666666668
babya,phi,uncoupled,flat,3,13.261622025970356,0.8176856924241122,1.23
babya,phi,uncoupled,flat,4,22.050312073843035,0.8749583103053556,0.2433333333333333
babya,phi,uncoupled,flat,5,9.810547761255174,0.6980921377197404,25.46333333333333
babya,phi,uncoupled,flat,6,13.478449298397903,0.7399406649568345,15.293333333333331
babya,phi,uncoupled,flat,7,7.190406957922788,0.7494449974926978,0.1733333333333333
babya,phi,uncoupled,flat,8,8.17306174592679,0.8563741643171598,52.973333333333336
babya,phi,uncoupled,flat,9,7.255729126607404,0.7212157520611361,0.19
babya,phi,uncoupled,flat,10,14.85751898067205,0.6690077876933341,28.906666666666663
babya,phi,uncoupled,rugged,1,7.71243267157426,0.5756494531418013,4.256666666666667
babya,phi,uncoupled,rugged,2,11.077646098649224,0.8170773208582861,9.58
babya,phi,uncoupled,rugged,3,10.349574917897026,0.7764207350033357,24.626666666666665
babya,phi,uncoupled,rugged,4,10.425956810314757,0.8279321605081739,17.233333333333334
babya,phi,uncoupled,rugged,5,13.154245056990368,0.7880838902896342,13.626666666666669
babya,phi,uncoupled,rugged,6,15.308729344042035,0.8921611461046028,2.2066666666666666
babya,phi,uncoupled,rugged,7,13.611950251714712,0.8323651308806912,10.413333333333334
babya,phi,uncoupled,rugged,8,10.730834873694151,0.8143789845643465,38.53666666666667
babya,phi,uncoupled,rugged,9,12.219679591892676,0.8234418308933469,14.71
babya,phi,uncoupled,rugged,10,13.500020099523704,0.7362400192885532,7.12
ege,base,blf,flat,1,6.644662075404376,0.57403518843269,14.793333333333331
ege,base,blf,flat,2,7.571150942422376,0.581897425454718,49.09666666666666
ege,base,blf,flat,3,12.59884702975652,0.7152683436306557,30.946666666666665
ege,base,blf,flat,4,8.359511920726838,0.6537248151981189,15.616666666666667
ege,base,blf,flat,5,7.074444044310265,0.6172555916282835,15.23
ege,base,blf,flat,6,14.810954670362332,0.8865501881671038,10.093333333333334
ege,base,blf,flat,7,6.847171895336606,0.6064296768877084,23.33333333333333
ege,base,blf,flat,8,12.885011640833532,0.7329091632306641,40.41
ege,base,blf,flat,9,4.623438871964424,0.6735873156102575,5.726666666666667
ege,base,blf,flat,10,10.558222902169286,0.729142294060019,16.55666666666667
ege,base,blf,rugged,1,11.529778125525288,0.8559529694762209,23.383333333333333
ege,base,blf,rugged,2,7.8558165800656035,0.6284226602344583,45.99
ege,base,blf,rugged,3,6.628221362337788,0.5706798709243842,23.15333333333333
ege,base,blf,rugged,4,10.26987988218256,0.6114088188839613,26.74
ege,base,blf,rugged,5,8.908212638437899,0.7847166977362747,7.96
ege,base,blf,rugged,6,7.957851439709138,0.8138732151726039,59.09666666666666
ege,base,blf,rugged,7,11.74964652025932,0.8165704440413576,44.50666666666667
ege,base,blf,rugged,8,8.519929282711106,0.6641865908191599,16.4
ege,base,blf,rugged,9,13.2310755759054,0.8037422028036174,35.92
ege,base,blf,rugged,10,9.014373270637744,0.6645508434359143,16.253333333333334
ege,phi,uncoupled,flat,1,7.514302257544354,0.5853079338865457,50.53
ege,phi,uncoupled,flat,2,11.154627928650743,0.7758548834121851,34.68
ege,phi,uncoupled,flat,3,11.716953926009234,0.6750701607480837,17.026666666666667
ege,phi,uncoupled,flat,4,8.38243851087757,0.6968698450079476,14.426666666666666
ege,phi,uncoupled,flat,5,9.773999638243804,0.6534547918431552,15.886666666666668
ege,phi,uncoupled,flat,6,8.95323813244323,0.6764904389877479,10.966666666666669
ege,phi,uncoupled,flat,7,6.886808140488945,0.5378078071272749,37.49
ege,phi,uncoupled,flat,8,9.424847544818595,0.6299720634429085,53.93333333333333
ege,phi,uncoupled,flat,9,6.400263882368834,0.5240054313370378,56.263333333333335
ege,phi,uncoupled,flat,10,7.361022237016909,0.5446678496624497,33.73
ege,phi,uncoupled,rugged,1,9.26642737385566,0.6872719556465718,25.57
ege,phi,uncoupled,rugged,2,8.442926632048211,0.5996105283629429,28.51333333333333
ege,phi,uncoupled,rugged,3,8.180562339353324,0.6577989774088323,23.96333333333333
ege,phi,uncoupled,rugged,4,7.337216839906656,0.5238979364043039,40.96666666666667
ege,phi,uncoupled,rugged,5,6.032707211240202,0.5135214793671743,20.45
ege,phi,uncoupled,rugged,6,9.16679180006285,0.6687713932321362,24.466666666666665
ege,phi,uncoupled,rugged,7,6.69246587582902,0.4992875654106363,21.25
ege,phi,uncoupled,rugged,8,5.868349718097037,0.5403779960205023,25.266666666666666
ege,phi,uncoupled,rugged,9,8.296825707693108,0.6517564668272744,20.616666666666667
ege,phi,uncoupled,rugged,10,4.813496448173199,0.4158192182845185,29.523333333333333
gecko,base,blf,flat,1,21.97902299141448,0.975017586070439,15.25
gecko,base,blf,flat,2,24.41805704100993,0.9623688082183052,5.276666666666666
gecko,base,blf,flat,3,13.809732390740736,0.9120404661496142,11.42
gecko,base,blf,flat,4,13.263055321815656,0.9553082472947736,5.68
gecko,base,blf,flat,5,19.012753463105536,0.9795162074544168,11.47
gecko,base,blf,flat,6,21.63883218930971,0.9506143741665553,14.176666666666666
gecko,base,blf,flat,7,14.311101744247097,0.9633872063080592,6.14
gecko,base,blf,flat,8,14.76840076013861,0.9643117329609598,0.3933333333333333
gecko,base,blf,flat,9,20.942747811509875,0.9758507419484036,5.32
gecko,base,blf,flat,10,19.41964663626452,0.9671387430800146,5.826666666666667
gecko,base,blf,rugged,1,13.973161637585797,0.9356268310215508,3.2666666666666666
gecko,base,blf,rugged,2,14.628451774623391,0.9451196066090426,2.07
gecko,base,blf,rugged,3,19.11101082592992,0.9304918023043732,7.526666666666666
gecko,base,blf,rugged,4,19.13835842113888,0.9420881792691972,13.393333333333333
gecko,base,blf,rugged,5,18.401909671263915,0.9370726792545984,8.353333333333333
gecko,base,blf,rugged,6,18.149572109268952,0.9443955375274096,13.123333333333331
gecko,base,blf,rugged,7,18.042128956970952,0.9486862409928144,13.71
gecko,base,blf,rugged,8,15.471802019090918,0.9253811293624268,3.5733333333333333
gecko,base,blf,rugged,9,10.524413043595862,0.868369160079406,20.576666666666668
gecko,base,blf,rugged,10,10.786102453987302,0.9183603601721648,16.786666666666665
gecko,phi,uncoupled,flat,1,21.25068545119425,0.9690537372702404,2.303333333333333
gecko,phi,uncoupled,flat,2,8.541794765109413,0.7655786276582138,8.013333333333334
gecko,phi,uncoupled,flat,3,6.598377553034844,0.6100459375060838,50.04666666666667
gecko,phi,uncoupled,flat,4,4.938960635145725,0.5687946641297006,2.2666666666666666
gecko,phi,uncoupled,flat,5,12.06850722545023,0.955790025405188,6.683333333333334
gecko,phi,uncoupled,flat,6,8.593992906509328,0.7953404273800377,0.7766666666666666
gecko,phi,uncoupled,flat,7,13.16516644343494,0.9545224796951076,7.223333333333334
gecko,phi,uncoupled,flat,8,12.876271551409165,0.964188320209984,0.7633333333333333
gecko,phi,uncoupled,flat,9,6.442345632402246,0.5994014083170217,49.083333333333336
gecko,phi,uncoupled,flat,10,12.195066886986988,0.9406590718481946,1.23
gecko,phi,uncoupled,rugged,1,12.622494049782372,0.9067974621247196,4.746666666666667
gecko,phi,uncoupled,rugged,2,7.527322076774201,0.837015892997075,20.57333333333333
gecko,phi,uncoupled,rugged,3,12.583793567654542,0.9557958708667108,8.17
gecko,phi,uncoupled,rugged,4,15.83999914382684,0.930661169744628,11.686666666666667
gecko,phi,uncoupled,rugged,5,12.03668440974727,0.9406518716458908,9.243333333333334
gecko,phi,uncoupled,rugged,6,9.113888402452291,0.7781981308487252,6.873333333333333
gecko,phi,uncoupled,rugged,7,9.751072492490035,0.8051536864328012,2.64
gecko,phi,uncoupled,rugged,8,12.009342170886685,0.8754094757447037,11.403333333333334
gecko,phi,uncoupled,rugged,9,17.781637265044306,0.9589176210316256,5.326666666666667
gecko,phi,uncoupled,rugged,10,9.614214304793292,0.9327231240140816,30.34
insect,base,blf,flat,1,17.68446858134246,0.9014366298354788,60.17
insect,base,blf,flat,2,14.19325471287913,0.8999678560313216,60.14666666666667
insect,base,blf,flat,3,16.6363769149763,0.926890632291872,60.43333333333333
insect,base,blf,flat,4,18.530028719512373,0.8969335198183195,64.08333333333333
insect,base,blf,flat,5,20.43788434707356,0.9499500280738776,59.21333333333333
insect,base,blf,flat,6,17.758132979541937,0.9254833221245752,67.97666666666667
insect,base,blf,flat,7,10.903578602269247,0.8871274401926422,86.55666666666667
insect,base,blf,flat,8,15.68077268888337,0.9389338268827409,44.23333333333333
insect,base,blf,flat,9,16.737825609281224,0.9370755027182642,46.37
insect,base,blf,flat,10,14.415410071067654,0.8938867637540316,48.57333333333333
insect,base,blf,rugged,1,14.083286149479251,0.9061626649025464,49.16
insect,base,blf,rugged,2,12.71360876037675,0.8690729206960471,53.31
insect,base,blf,rugged,3,10.266968878566514,0.8713319254383427,85.33333333333333
insect,base,blf,rugged,4,10.457103052282706,0.7887550261262053,67.20333333333333
insect,base,blf,rugged,5,14.362826753994272,0.9170424025753452,48.17
insect,base,blf,rugged,6,13.815920378999412,0.8756905812429021,44.223333333333336
insect,base,blf,rugged,7,9.607661194450287,0.8144895248763812,81.35666666666667
insect,base,blf,rugged,8,10.213216840821948,0.8480757035824696,75.57666666666667
insect,base,blf,rugged,9,15.638867612573875,0.9020630083246256,58.20666666666666
insect,base,blf,rugged,10,15.74635771097425,0.9096004715310188,61.36
insect,phi,uncoupled,flat,1,11.127299152383744,0.8837131373968615,47.54666666666667
insect,phi,uncoupled,flat,2,15.89497183716568,0.9058891410541616,60.79666666666667
insect,phi,uncoupled,flat,3,11.375499564306216,0.8915799850650034,53.763333333333335
insect,phi,uncoupled,flat,4,11.21321308843048,0.9134671978093132,54.33
insect,phi,uncoupled,flat,5,6.576271723958127,0.6482345228615413,78.58
