robot,variant,coupling,terrain,n_seeds,distance_mean,distance_std,distance_median,distance_q25,distance_q75,distance_min,distance_max,drag_pct_mean,drag_pct_std,drag_pct_median,drag_pct_q25,drag_pct_q75,drag_pct_min,drag_pct_max,em_mean,em_std,em_median,em_q25,em_q75,em_min,em_max
babya,base,blf,flat,10,23.6184,3.892,24.5318,21.4103,26.2596,15.1989,28.7382,17.5403,15.3033,9.9817,7.1433,23.5683,4.37,50.0967,0.9416,0.0212,0.9483,0.9248,0.956,0.9112,0.968
babya,base,blf,rugged,10,18.3822,2.7328,19.059,16.413,20.6169,14.2025,21.8109,26.433,17.2789,28.3867,11.6642,32.8942,3.28,57.45,0.8899,0.0553,0.9167,0.86,0.9299,0.7937,0.9343
babya,phi,uncoupled,flat,10,11.7832,4.71,11.5361,7.8546,13.8738,7.1904,22.0503,17.491,18.5404,13.59,0.49,28.0458,0.1733,52.9733,0.7474,0.0996,0.7447,0.7039,0.8152,0.5393,0.875
babya,phi,uncoupled,rugged,10,11.8091,2.1822,11.6487,10.5022,13.4136,7.7124,15.3087,14.231,10.746,12.02,7.735,16.6025,2.2067,38.5367,0.7884,0.0851,0.8157,0.7793,0.8268,0.5756,0.8922
ege,base,blf,flat,10,9.1973,3.3224,7.9653,6.904,12.0887,4.6234,14.811,22.1803,13.862,16.0867,14.9025,29.0433,5.7267,49.0967,0.6771,0.0943,0.6637,0.6091,0.7257,0.574,0.8866
ege,base,blf,rugged,10,9.5665,2.069,8.9613,8.0984,11.2148,6.6282,13.2311,29.9403,16.0164,25.0617,18.0883,42.36,7.96,59.0967,0.7214,0.1035,0.7246,0.6374,0.8113,0.5707,0.856
ege,phi,uncoupled,flat,10,8.7569,1.7862,8.6678,7.3993,9.6867,6.4003,11.717,32.4933,17.2758,34.205,16.1717,47.27,10.9667,56.2633,0.63,0.0813,0.6417,0.5548,0.6761,0.524,0.7759
ege,phi,uncoupled,rugged,10,7.4098,1.5098,7.7589,6.1976,8.4064,4.8135,9.2664,26.0587,6.076,24.8667,21.9283,27.7775,20.45,40.9667,0.5758,0.0903,0.57,0.5161,0.6563,0.4158,0.6873
gecko,base,blf,flat,10,18.3563,4.0103,19.2162,14.4254,21.4648,13.2631,24.4181,8.0953,4.7186,5.9833,5.41,11.4575,0.3933,15.25,0.9606,0.0193,0.9638,0.9571,0.973,0.912,0.9795
gecko,base,blf,rugged,10,15.8227,3.2865,16.757,14.137,18.3388,10.5244,19.1384,10.238,6.2427,10.7383,4.5617,13.6308,2.07,20.5767,0.9296,0.0235,0.9363,0.9267,0.9438,0.8684,0.9487
gecko,phi,uncoupled,flat,10,10.6671,4.7547,10.3313,7.0842,12.706,4.939,21.2507,12.839,19.5495,4.4933,1.4892,7.8158,0.7633,50.0467,0.8123,0.1676,0.868,0.6489,0.9555,0.5688,0.9691
gecko,phi,uncoupled,rugged,10,11.888,3.1245,12.023,9.6484,12.6128,7.5273,17.7816,11.1003,8.4032,8.7067,5.7133,11.6158,2.64,30.34,0.8921,0.065,0.9187,0.8466,0.9387,0.7782,0.9589
insect,base,blf,flat,10,16.2978,2.6654,16.6871,14.7318,17.7397,10.9036,20.4379,59.7757,12.2513,60.1583,51.2333,63.1708,44.2333,86.5567,0.9158,0.0223,0.9135,0.8977,0.9345,0.8871,0.95
insect,base,blf,rugged,10,12.6906,2.3696,13.2648,10.3145,14.2929,9.6077,15.7464,62.39,14.497,59.7833,50.1975,73.4833,44.2233,85.3333,0.8702,0.0426,0.8735,0.8533,0.9051,0.7888,0.917
insect,phi,uncoupled,flat,10,10.4434,2.7759,11.0829,8.201,11.3349,6.5763,15.895,63.082,12.7363,61.685,53.905,71.4825,47.5467,85.7533,0.8479,0.0885,0.8843,0.8109,0.9023,0.6482,0.9248
insect,phi,uncoupled,rugged,10,9.6845,1.1569,9.8082,9.1257,10.186,7.4993,11.8965,62.0193,12.3523,59.7167,52.865,66.2175,48.5267,83.06,0.8404,0.0258,0.8404,0.8182,0.8586,0.8085,0.8808
queen,base,blf,flat,10,15.8402,4.0484,17.1417,11.5568,19.2544,10.7719,20.9261,45.7517,8.4909,46.1517,39.6858,50.3283,32.8833,61.8833,0.8819,0.0877,0.9137,0.864,0.9362,0.6857,0.9671
queen,base,blf,rugged,10,14.7208,2.5722,15.0245,14.0408,15.7833,8.7402,18.2395,53.3367,7.1879,55.4567,49.2642,58.7258,41.19,61.0167,0.8624,0.0528,0.8802,0.8379,0.8962,0.7543,0.9136
queen,phi,uncoupled,flat,10,9.8415,5.2847,8.3276,5.1001,14.2844,4.894,18.378,51.7323,8.3742,51.39,45.405,53.52,40.4267,68.16,0.6717,0.2246,0.6561,0.4582,0.8801,0.444,0.9368
queen,phi,uncoupled,rugged,10,7.4184,2.7943,8.4779,5.0761,9.6594,2.4898,10.3275,64.494,8.1297,63.7,59.2675,72.2225,50.0767,74.3767,0.6633,0.1848,0.7355,0.5135,0.7774,0.3396,0.8774
spider,base,blf,flat,10,16.3198,1.8699,16.8973,15.8628,17.2539,12.8413,19.1264,27.1143,14.2047,34.6633,14.9017,37.5383,5.23,40.8533,0.8873,0.0565,0.9149,0.8416,0.9272,0.7987,0.9491
spider,base,blf,rugged,10,13.136,1.9632,13.203,11.3766,14.4034,10.7698,16.5712,29.4893,22.185,40.3267,6.8492,43.1117,1.11,55.6033,0.8404,0.0389,0.8349,0.8128,0.868,0.7899,0.8997
spider,phi,uncoupled,flat,10,9.3062,3.1774,8.961,6.5242,11.1249,5.525,14.1068,30.6907,16.0726,27.1217,20.6225,40.5283,7.1567,59.9333,0.6647,0.1667,0.6475,0.4993,0.8103,0.4846,0.8882
spider,phi,uncoupled,rugged,10,9.859,1.2839,9.7175,9.0955,10.8319,7.4766,11.5917,27.0123,16.6258,32.9083,10.8267,38.0292,2.2867,48.03,0.7381,0.0864,0.7628,0.7241,0.7851,0.5393,0.8235
