robot,variant,coupling,train_terrain,eval_terrain,n,dist_mean,dist_std,dist_median,em_mean,em_std,drag_mean,drag_std
babya,base,blf,flat,flat,30,24.2272,3.8349,24.9325,0.9417,0.0308,17.6513,12.8553
babya,base,blf,flat,rugged,30,8.3578,5.8359,6.3092,0.3968,0.2532,25.9616,16.7927
babya,base,blf,rugged,flat,30,19.4589,3.2387,19.3173,0.8845,0.0646,19.5662,15.673
babya,base,blf,rugged,rugged,30,19.5735,2.7743,19.4138,0.9041,0.0388,20.2438,15.3812
babya,phi,uncoupled,flat,flat,30,11.0715,3.3052,10.9188,0.7121,0.1162,21.7902,18.9929
babya,phi,uncoupled,flat,rugged,30,6.5217,3.4991,6.4358,0.4653,0.1813,25.3679,21.3468
babya,phi,uncoupled,rugged,flat,30,9.7187,3.634,10.0304,0.653,0.1879,20.4031,19.0859
babya,phi,uncoupled,rugged,rugged,30,11.4944,2.7358,10.9042,0.7529,0.093,16.3256,11.5412
ege,base,blf,flat,flat,30,10.4972,3.0658,10.5223,0.7279,0.1113,27.863,18.8024
ege,base,blf,flat,rugged,30,4.9676,2.4354,4.8009,0.4226,0.172,32.6953,20.0725
ege,base,blf,rugged,flat,30,9.1253,2.299,9.1285,0.6959,0.1291,34.7543,17.2587
ege,base,blf,rugged,rugged,30,9.4095,2.0741,9.2687,0.7268,0.1037,35.3779,16.5329
ege,phi,uncoupled,flat,flat,30,8.3003,1.8404,8.1682,0.6114,0.0881,32.2909,14.4458
ege,phi,uncoupled,flat,rugged,30,4.5918,2.3979,4.9609,0.3959,0.1673,37.9029,17.6625
ege,phi,uncoupled,rugged,flat,30,6.431,2.8491,6.0611,0.5143,0.2224,31.7651,15.8135
ege,phi,uncoupled,rugged,rugged,30,7.2689,1.7242,6.7681,0.5873,0.1133,32.313,15.2151
gecko,base,blf,flat,flat,30,19.1581,3.6678,19.6303,0.9646,0.019,7.2536,5.3544
gecko,base,blf,flat,rugged,30,9.0085,4.9475,8.0644,0.5501,0.2984,9.9188,6.3282
gecko,base,blf,rugged,flat,30,16.1833,3.7969,17.1988,0.8879,0.1632,10.8549,5.8738
gecko,base,blf,rugged,rugged,30,16.9526,2.2648,17.7416,0.9436,0.0216,11.9184,5.796
gecko,phi,uncoupled,flat,flat,30,9.4822,3.6221,8.5679,0.7866,0.1603,14.578,19.1492
gecko,phi,uncoupled,flat,rugged,30,6.1084,4.0994,6.594,0.5539,0.3212,16.2744,17.611
gecko,phi,uncoupled,rugged,flat,30,9.7378,3.7699,9.0056,0.8069,0.1779,9.289,7.4015
gecko,phi,uncoupled,rugged,rugged,30,10.5233,3.0413,9.9712,0.8725,0.0704,10.2953,7.8018
insect,base,blf,flat,flat,30,15.7448,2.9168,16.0094,0.9111,0.0232,60.5788,11.6838
insect,base,blf,flat,rugged,30,7.7887,4.6386,8.085,0.5428,0.3101,63.5871,10.2917
insect,base,blf,rugged,flat,30,13.2658,3.0261,14.3089,0.8554,0.1006,59.0778,13.1865
insect,base,blf,rugged,rugged,30,13.24,2.0873,14.0436,0.8665,0.0382,60.3277,11.6959
insect,phi,uncoupled,flat,flat,30,10.5408,2.4258,10.5714,0.8549,0.0713,59.6738,10.8328
insect,phi,uncoupled,flat,rugged,30,6.9703,2.9129,7.2281,0.6156,0.2252,62.1788,9.5835
insect,phi,uncoupled,rugged,flat,30,8.9102,2.4684,9.3156,0.7744,0.1606,63.1557,12.0976
insect,phi,uncoupled,rugged,rugged,30,9.3749,2.0432,9.5099,0.8035,0.0938,64.8858,11.3011
queen,base,blf,flat,flat,30,15.5256,4.2318,17.1037,0.8834,0.0787,46.7693,8.6021
queen,base,blf,flat,rugged,30,5.2626,3.5781,4.3199,0.3561,0.2493,49.4953,9.7553
queen,base,blf,rugged,flat,30,13.0618,3.4227,13.0256,0.8351,0.0989,51.5877,8.9824
queen,base,blf,rugged,rugged,30,13.5113,3.1834,14.5877,0.8505,0.0713,52.8136,6.7703
queen,phi,uncoupled,flat,flat,30,9.4465,5.3823,5.9306,0.6734,0.2096,54.3044,10.5951
queen,phi,uncoupled,flat,rugged,30,3.9631,2.5502,3.7279,0.3342,0.1675,56.5949,10.4659
queen,phi,uncoupled,rugged,flat,30,6.4262,3.4551,5.6624,0.5537,0.2423,57.6022,10.4023
queen,phi,uncoupled,rugged,rugged,30,7.4447,3.3456,7.1419,0.617,0.1911,56.5108,11.3932
spider,base,blf,flat,flat,30,16.034,2.6461,16.2817,0.8673,0.0553,24.3701,17.6062
spider,base,blf,flat,rugged,30,10.2135,3.7944,10.5953,0.6475,0.2113,29.1011,17.7274
spider,base,blf,rugged,flat,30,13.4351,1.9415,13.3494,0.8381,0.0744,29.0058,20.4539
spider,base,blf,rugged,rugged,30,13.2579,1.8001,13.203,0.8465,0.0536,30.2418,20.2849
spider,phi,uncoupled,flat,flat,30,9.1344,2.6983,9.3006,0.675,0.1777,25.3141,16.2181
spider,phi,uncoupled,flat,rugged,30,6.1502,3.1472,5.0106,0.4848,0.2219,27.7149,15.4441
spider,phi,uncoupled,rugged,flat,30,9.0997,2.5082,9.5179,0.6721,0.1729,26.7783,15.1075
spider,phi,uncoupled,rugged,rugged,30,9.3734,1.9867,9.4871,0.7024,0.1239,28.0522,15.1716
