robot,variant,coupling,train_terrain,eval_terrain,seed,distance,em,drag_pct,transfer
babya,base,blf,flat,flat,1,24.70950848542478,0.9112022790420858,6.023333333333333,False
babya,base,blf,flat,flat,2,25.71652685007643,0.928226172488422,6.69,False
babya,base,blf,flat,flat,3,21.10212351379763,0.944044759163666,17.583333333333332,False
babya,base,blf,flat,flat,4,26.44056243905732,0.9237023410430772,8.503333333333334,False
babya,base,blf,flat,flat,5,28.73817096869645,0.9680099344969528,10.1,False
babya,base,blf,flat,flat,6,21.2605144624498,0.9566580272472338,25.563333333333333,False
babya,base,blf,flat,flat,7,21.85963179314244,0.9541009980013768,36.61,False
babya,base,blf,flat,flat,8,24.35399394212862,0.952591670150719,4.37,False
babya,base,blf,flat,flat,9,15.198915034471275,0.9120280070126956,50.09666666666666,False
babya,base,blf,flat,flat,10,26.803812044105207,0.9649704079622508,9.863333333333332,False
babya,base,blf,flat,rugged,1,1.051120792619738,0.0954999882021262,62.48333333333333,True
babya,base,blf,flat,rugged,2,12.843346837614956,0.5207581868051306,3.49,True
babya,base,blf,flat,rugged,3,4.770448413366287,0.2377873324058451,19.696666666666665,True
babya,base,blf,flat,rugged,4,3.5204599868892625,0.1428911367591399,14.706666666666669,True
babya,base,blf,flat,rugged,5,6.430545607901908,0.2876806467936099,21.81,True
babya,base,blf,flat,rugged,6,9.45337631105862,0.4953070402017119,26.446666666666665,True
babya,base,blf,flat,rugged,7,2.586773706414476,0.1289283340919951,40.31666666666667,True
babya,base,blf,flat,rugged,8,13.290528532109816,0.5849871238288652,5.72,True
babya,base,blf,flat,rugged,9,13.767475447675633,0.9104269066611868,51.75,True
babya,base,blf,flat,rugged,10,8.11779572208996,0.39428903799164,14.38,True
babya,base,blf,rugged,flat,1,19.34376550731027,0.919454561096816,7.193333333333333,True
babya,base,blf,rugged,flat,2,22.53016046882817,0.9565757592746889,30.846666666666668,True
babya,base,blf,rugged,flat,3,16.498312952838674,0.8051516728514678,30.1,True
babya,base,blf,rugged,flat,4,22.06951852223381,0.9594078397686392,15.436666666666667,True
babya,base,blf,rugged,flat,5,15.171535482201872,0.9228535727780116,60.193333333333335,True
babya,base,blf,rugged,flat,6,20.48559658443772,0.9500964545167396,27.636666666666667,True
babya,base,blf,rugged,flat,7,20.395521697608,0.9077054825915676,2.223333333333333,True
babya,base,blf,rugged,flat,8,15.92723380397956,0.8191064770661689,45.42666666666667,True
babya,base,blf,rugged,flat,9,14.336966282719288,0.8263025370213828,26.46,True
babya,base,blf,rugged,flat,10,23.21568756144641,0.9257819113520972,7.533333333333333,True
babya,base,blf,rugged,rugged,1,19.12198304759909,0.8950231275339701,7.1066666666666665,False
babya,base,blf,rugged,rugged,2,21.100271304693724,0.93433267777594,33.06,False
babya,base,blf,rugged,rugged,3,16.987241101695698,0.7937256395271309,29.43,False
babya,base,blf,rugged,rugged,4,18.995978424358515,0.933495552200144,19.346666666666668,False
babya,base,blf,rugged,rugged,5,14.76823696836812,0.9296528379312248,57.45,False
