robot,variant,coupling,train_terrain,eval_terrain,n,dist_mean,dist_std,dist_median,em_mean,em_std,drag_mean,drag_std
babya,base,blf,flat,flat,10,23.6184,3.892,24.5318,0.9416,0.0212,17.5403,15.3033
babya,base,blf,flat,rugged,10,7.5832,4.6625,7.2742,0.3799,0.2551,26.08,19.5421
babya,base,blf,rugged,flat,10,18.9974,3.2665,19.8696,0.8992,0.0595,25.305,18.1248
babya,base,blf,rugged,rugged,10,18.3822,2.7328,19.059,0.8899,0.0553,26.433,17.2789
babya,phi,uncoupled,flat,flat,10,11.7832,4.71,11.5361,0.7474,0.0996,17.491,18.5404
babya,phi,uncoupled,flat,rugged,10,7.4671,4.7014,5.6938,0.5082,0.2017,17.621,18.2411
babya,phi,uncoupled,rugged,flat,10,10.5459,3.5202,11.0624,0.71,0.1751,20.2763,19.7681
babya,phi,uncoupled,rugged,rugged,10,11.8091,2.1822,11.6487,0.7884,0.0851,14.231,10.746
ege,base,blf,flat,flat,10,9.1973,3.3224,7.9653,0.6771,0.0943,22.1803,13.862
ege,base,blf,flat,rugged,10,4.4276,1.8418,4.3468,0.4059,0.156,25.63,14.4521
ege,base,blf,rugged,flat,10,9.1696,2.648,8.8519,0.6818,0.1553,29.0653,16.6921
ege,base,blf,rugged,rugged,10,9.5665,2.069,8.9613,0.7214,0.1035,29.9403,16.0164
ege,phi,uncoupled,flat,flat,10,8.7569,1.7862,8.6678,0.63,0.0813,32.4933,17.2758
ege,phi,uncoupled,flat,rugged,10,4.8237,2.906,5.5505,0.4007,0.2282,36.0813,17.1036
ege,phi,uncoupled,rugged,flat,10,5.8143,2.7625,6.3103,0.4491,0.2055,25.2163,8.3369
ege,phi,uncoupled,rugged,rugged,10,7.4098,1.5098,7.7589,0.5758,0.0903,26.0587,6.076
gecko,base,blf,flat,flat,10,18.3563,4.0103,19.2162,0.9606,0.0193,8.0953,4.7186
gecko,base,blf,flat,rugged,10,10.0286,5.3892,9.9899,0.6265,0.3099,10.1207,5.4905
gecko,base,blf,rugged,flat,10,14.9243,5.262,16.6786,0.8619,0.2219,10.1063,6.3701
gecko,base,blf,rugged,rugged,10,15.8227,3.2865,16.757,0.9296,0.0235,10.238,6.2427
gecko,phi,uncoupled,flat,flat,10,10.6671,4.7547,10.3313,0.8123,0.1676,12.839,19.5495
gecko,phi,uncoupled,flat,rugged,10,7.2079,4.8631,8.6107,0.5805,0.361,13.38,16.6141
gecko,phi,uncoupled,rugged,flat,10,10.8801,4.3574,11.7101,0.8031,0.2007,10.54,8.8186
gecko,phi,uncoupled,rugged,rugged,10,11.888,3.1245,12.023,0.8921,0.065,11.1003,8.4032
insect,base,blf,flat,flat,10,16.2978,2.6654,16.6871,0.9158,0.0223,59.7757,12.2513
insect,base,blf,flat,rugged,10,8.2858,5.0246,8.085,0.5515,0.3288,62.307,11.1012
insect,base,blf,rugged,flat,10,12.3417,3.3117,12.7791,0.8397,0.1109,61.2097,17.0349
insect,base,blf,rugged,rugged,10,12.6906,2.3696,13.2648,0.8702,0.0426,62.39,14.497
insect,phi,uncoupled,flat,flat,10,10.4434,2.7759,11.0829,0.8479,0.0885,63.082,12.7363
insect,phi,uncoupled,flat,rugged,10,7.8826,2.1953,7.51,0.7064,0.1056,66.273,10.3475
insect,phi,uncoupled,rugged,flat,10,8.5204,2.5102,9.3156,0.7735,0.2149,58.9383,11.2414
insect,phi,uncoupled,rugged,rugged,10,9.6845,1.1569,9.8082,0.8404,0.0258,62.0193,12.3523
queen,base,blf,flat,flat,10,15.8402,4.0484,17.1417,0.8819,0.0877,45.7517,8.4909
queen,base,blf,flat,rugged,10,5.4792,3.6404,5.5902,0.3426,0.2152,49.7963,8.5353
queen,base,blf,rugged,flat,10,14.4269,3.2418,14.8365,0.8631,0.0883,52.1633,9.6329
queen,base,blf,rugged,rugged,10,14.7208,2.5722,15.0245,0.8624,0.0528,53.3367,7.1879
queen,phi,uncoupled,flat,flat,10,9.8415,5.2847,8.3276,0.6717,0.2246,51.7323,8.3742
queen,phi,uncoupled,flat,rugged,10,4.0582,2.382,3.7176,0.3103,0.1366,56.5953,9.2672
queen,phi,uncoupled,rugged,flat,10,7.3707,2.8997,8.169,0.6645,0.195,64.074,9.0978
queen,phi,uncoupled,rugged,rugged,10,7.4184,2.7943,8.4779,0.6633,0.1848,64.494,8.1297
spider,base,blf,flat,flat,10,16.3198,1.8699,16.8973,0.8873,0.0565,27.1143,14.2047
spider,base,blf,flat,rugged,10,9.8192,4.0017,10.7039,0.6356,0.2529,32.2323,13.6316
spider,base,blf,rugged,flat,10,13.1578,1.8922,12.8082,0.8257,0.0719,28.1257,21.8424
spider,base,blf,rugged,rugged,10,13.136,1.9632,13.203,0.8404,0.0389,29.4893,22.185
spider,phi,uncoupled,flat,flat,10,9.3062,3.1774,8.961,0.6647,0.1667,30.6907,16.0726
spider,phi,uncoupled,flat,rugged,10,5.9672,3.6373,5.0051,0.4538,0.2328,32.2957,15.8185
spider,phi,uncoupled,rugged,flat,10,9.7881,1.2977,9.7239,0.727,0.097,25.5547,17.1089
spider,phi,uncoupled,rugged,rugged,10,9.859,1.2839,9.7175,0.7381,0.0864,27.0123,16.6258
