robot,variant,coupling,terrain,generation,median,q25,q75,mean,std,n
babya,base,blf,flat,1,1.588503357746498,1.3210051268552059,2.0691445000162894,1.7327418119215237,0.616747179089504,30
babya,base,blf,flat,2,2.0569935273851137,1.7135335500067632,2.4907770741210404,2.1775308400350446,0.6652085189164341,30
babya,base,blf,flat,3,2.5249586057666455,2.226400059617393,3.4231187824066795,2.7867322469178797,0.8103130039074702,30
babya,base,blf,flat,4,2.815535293979406,2.4329057954018563,3.566549214644688,3.025452531588931,0.7702187986600548,30
babya,base,blf,flat,5,3.0844293515136387,2.6018692779213426,3.579125443910892,3.169570109678348,0.6939365945795078,30
babya,base,blf,flat,6,3.3255485849841153,2.7672433811281287,3.681048311424286,3.2878550222903042,0.6528854781623196,30
babya,base,blf,flat,7,3.37282065148794,2.970639454664031,3.726784568867051,3.4062387771875136,0.5847623403371135,30
babya,base,blf,flat,8,3.578131948864214,3.175542879961986,4.044522407520983,3.589029833394077,0.6967839579927295,30
babya,base,blf,flat,9,3.7839349143064,3.3070587696814986,4.1011945723342595,3.8063040869381077,0.8163474272622973,30
babya,base,blf,flat,10,3.965648064082308,3.4285048868173194,4.2241788367868764,3.9412781782946045,0.8571945637981289,30
babya,base,blf,flat,11,3.995117754934049,3.4993979678624783,4.6212001635452085,4.014102173672656,0.8832940293902438,30
babya,base,blf,flat,12,4.031114264452682,3.5302833777434732,4.732471832083281,4.122070157514929,0.9287649747982941,30
babya,base,blf,flat,13,4.177829588631587,3.7636419819463844,4.984566795414826,4.311009379660675,0.9484743757829917,30
babya,base,blf,flat,14,4.1995299817558,3.9541740271436696,4.984566795414826,4.379446323130492,0.9176532077814441,30
babya,base,blf,flat,15,4.536681924017202,4.030540098790957,5.126820837669799,4.5477305223197,0.93175148960026,30
babya,base,blf,flat,16,4.536681924017202,4.030540098790957,5.126820837669799,4.609556832108045,0.9845453972309317,30
babya,base,blf,flat,17,4.536681924017202,4.030540098790957,5.412948471439621,4.7279206128466145,1.1484574421113831,30
babya,base,blf,flat,18,4.6718098152617,4.030540098790957,5.634418759385426,4.817640238236313,1.185778897048951,30
babya,base,blf,flat,19,4.745300287480841,4.033101764054459,5.736121362839325,4.878063160985115,1.1950051608139436,30
babya,base,blf,flat,20,4.745300287480841,4.033101764054459,5.736121362839325,4.884031956924184,1.1865852038641547,30
babya,base,blf,flat,21,4.745300287480841,4.114683569158292,5.736121362839325,4.944370105881017,1.122304553374324,30
