robot,variant,coupling,terrain,n_seeds,distance_mean,distance_std,distance_median,distance_q25,distance_q75,distance_min,distance_max,drag_pct_mean,drag_pct_std,drag_pct_median,drag_pct_q25,drag_pct_q75,drag_pct_min,drag_pct_max,em_mean,em_std,em_median,em_q25,em_q75,em_min,em_max
babya,base,blf,flat,30,11.9499,2.0637,11.6697,11.1551,12.279,8.1867,17.4412,15.6708,10.7294,17.275,7.5142,20.4208,2.7033,52.7033,0.8787,0.04,0.8776,0.8544,0.9051,0.8088,0.96
babya,base,blf,rugged,30,10.1573,2.177,10.3322,8.8055,10.9524,5.7889,14.6168,29.2461,19.3358,21.4367,15.8425,36.3683,6.87,68.6867,0.8714,0.0364,0.8727,0.8528,0.897,0.7803,0.9308
babya,phi,uncoupled,flat,30,13.1723,3.243,12.1528,11.4203,15.774,8.1456,18.8316,19.9677,13.1338,19.6267,10.5642,26.39,0.3267,56.2033,0.8862,0.0331,0.8934,0.8607,0.9086,0.8215,0.9352
babya,phi,uncoupled,rugged,30,11.4791,2.0623,10.8715,10.2942,13.2327,6.921,15.5369,23.5969,14.3745,22.6667,12.5575,32.1908,1.4933,56.6267,0.858,0.0467,0.8678,0.8371,0.885,0.7079,0.9289
ege,base,blf,flat,30,7.6824,0.7002,7.7303,7.15,8.2846,6.3826,9.2654,46.4618,18.4321,53.705,33.225,58.1375,4.3133,80.05,0.8475,0.0787,0.8491,0.7853,0.9024,0.679,0.9801
ege,base,blf,rugged,30,6.5546,0.6336,6.7107,6.0057,6.9994,5.1553,7.8541,44.3538,18.6243,42.59,35.3317,57.1933,8.4767,78.19,0.8165,0.0586,0.8285,0.7936,0.8509,0.6678,0.917
ege,phi,uncoupled,flat,30,7.8136,0.8895,7.8376,7.0928,8.5266,6.2714,9.2265,49.9679,14.2437,52.0717,40.455,59.38,19.4967,74.9267,0.8488,0.0752,0.8563,0.7916,0.8966,0.6944,0.9718
ege,phi,uncoupled,rugged,30,7.1167,0.8916,6.9832,6.5618,7.5149,5.7126,9.5837,47.6518,18.545,48.5467,38.94,54.4542,7.0,81.2367,0.8153,0.0608,0.8256,0.779,0.8535,0.6808,0.9149
gecko,base,blf,flat,30,11.0854,2.2019,12.3681,9.1838,12.8273,6.5801,13.5484,7.2618,4.1307,6.7033,3.3467,11.535,0.1767,13.5533,0.8866,0.0302,0.8818,0.8707,0.9061,0.8236,0.9528
gecko,base,blf,rugged,30,8.48,1.9858,8.3411,6.372,10.7043,5.5355,11.2024,15.6341,8.3615,13.085,9.8783,18.5133,6.53,38.7,0.8664,0.0276,0.867,0.8456,0.8885,0.8139,0.9107
gecko,phi,uncoupled,flat,30,12.4191,2.236,13.3682,12.5659,13.6322,6.768,15.6925,10.5471,7.7856,7.5533,4.6958,15.2175,2.3567,33.35,0.8926,0.0265,0.8933,0.8771,0.9121,0.8289,0.937
gecko,phi,uncoupled,rugged,30,9.2875,1.9825,8.7315,8.4255,11.2858,4.0855,12.4965,15.1899,12.5197,11.4733,8.2817,17.3683,4.6533,69.51,0.8738,0.045,0.8825,0.8721,0.8999,0.6895,0.9235
insect,base,blf,flat,30,7.435,0.7084,7.2871,6.7851,8.1192,6.2593,8.537,81.0459,12.2967,76.7617,70.9008,93.4542,61.9567,97.4933,0.8612,0.0366,0.8569,0.8337,0.8934,0.8017,0.9252
insect,base,blf,rugged,30,6.762,0.6601,6.6416,6.1688,7.4742,5.725,7.8057,78.825,10.4913,76.8617,71.1158,88.6992,63.11,95.1233,0.8317,0.0288,0.8287,0.8099,0.8561,0.7681,0.8803
