robot,variant,coupling,train_terrain,eval_terrain,n,dist_mean,dist_std,dist_median,em_mean,em_std,drag_mean,drag_std
babya,base,blf,flat,flat,30,11.9499,2.0637,11.6697,0.8787,0.04,15.6708,10.7294
babya,base,blf,flat,rugged,30,7.6439,2.9626,8.8909,0.6806,0.2301,23.5219,17.4858
babya,base,blf,rugged,flat,30,9.5765,2.4227,9.8467,0.831,0.128,29.4847,19.8871
babya,base,blf,rugged,rugged,30,10.1573,2.177,10.3322,0.8714,0.0364,29.2461,19.3358
babya,phi,uncoupled,flat,flat,30,13.1723,3.243,12.1528,0.8862,0.0331,19.9677,13.1338
babya,phi,uncoupled,flat,rugged,30,7.305,2.8991,7.4247,0.6226,0.2257,25.7942,14.8022
babya,phi,uncoupled,rugged,flat,30,10.9652,1.9116,10.599,0.8357,0.0719,23.1628,14.5706
babya,phi,uncoupled,rugged,rugged,30,11.4791,2.0623,10.8715,0.858,0.0467,23.5969,14.3745
ege,base,blf,flat,flat,30,7.6824,0.7002,7.7303,0.8475,0.0787,46.4618,18.4321
ege,base,blf,flat,rugged,30,4.3282,1.893,4.8415,0.5681,0.2241,49.0721,17.0947
ege,base,blf,rugged,flat,30,6.6477,0.6952,6.6802,0.8272,0.0627,43.3302,19.5487
ege,base,blf,rugged,rugged,30,6.5546,0.6336,6.7107,0.8165,0.0586,44.3538,18.6243
ege,phi,uncoupled,flat,flat,30,7.8136,0.8895,7.8376,0.8488,0.0752,49.9679,14.2437
ege,phi,uncoupled,flat,rugged,30,4.2797,1.8624,4.673,0.5487,0.2101,52.177,14.136
ege,phi,uncoupled,rugged,flat,30,6.9299,1.0758,6.9096,0.7897,0.0692,47.2184,18.731
ege,phi,uncoupled,rugged,rugged,30,7.1167,0.8916,6.9832,0.8153,0.0608,47.6518,18.545
gecko,base,blf,flat,flat,30,11.0854,2.2019,12.3681,0.8866,0.0302,7.2618,4.1307
gecko,base,blf,flat,rugged,30,4.6049,2.7252,4.5075,0.481,0.285,20.4963,15.0088
gecko,base,blf,rugged,flat,30,8.2373,1.9618,8.3949,0.8518,0.0533,16.9908,14.1243
gecko,base,blf,rugged,rugged,30,8.48,1.9858,8.3411,0.8664,0.0276,15.6341,8.3615
gecko,phi,uncoupled,flat,flat,30,12.4191,2.236,13.3682,0.8926,0.0265,10.5471,7.7856
gecko,phi,uncoupled,flat,rugged,30,4.3551,2.2844,4.131,0.43,0.2259,24.1581,12.4414
gecko,phi,uncoupled,rugged,flat,30,8.7441,2.0194,8.6695,0.8323,0.1191,13.6416,11.8514
gecko,phi,uncoupled,rugged,rugged,30,9.2875,1.9825,8.7315,0.8738,0.045,15.1899,12.5197
insect,base,blf,flat,flat,30,7.435,0.7084,7.2871,0.8612,0.0366,81.0459,12.2967
insect,base,blf,flat,rugged,30,5.7778,1.2051,5.9046,0.7284,0.1366,82.0869,9.1159
insect,base,blf,rugged,flat,30,6.6094,0.6996,6.6539,0.8159,0.0404,78.2899,11.8539
insect,base,blf,rugged,rugged,30,6.762,0.6601,6.6416,0.8317,0.0288,78.825,10.4913
insect,phi,uncoupled,flat,flat,30,7.8783,0.7489,8.1597,0.861,0.0334,75.185,13.148
insect,phi,uncoupled,flat,rugged,30,4.7137,1.878,5.1714,0.5967,0.2249,80.6816,8.9091
insect,phi,uncoupled,rugged,flat,30,6.9796,0.9407,7.3127,0.8098,0.0792,73.5083,11.069
insect,phi,uncoupled,rugged,rugged,30,7.2352,0.5809,7.4672,0.8345,0.0287,73.8002,10.5296
queen,base,blf,flat,flat,30,8.6965,1.9914,8.6547,0.808,0.083,52.5381,11.6039
queen,base,blf,flat,rugged,30,3.0813,1.749,3.7858,0.369,0.2201,56.0368,11.3281
queen,base,blf,rugged,flat,30,6.7964,1.9604,6.7571,0.7056,0.1748,59.4576,11.4083
queen,base,blf,rugged,rugged,30,7.7092,1.2459,8.2504,0.7913,0.0589,60.5,11.0631
queen,phi,uncoupled,flat,flat,30,9.2416,2.6295,9.786,0.8215,0.0823,45.3999,12.3442
queen,phi,uncoupled,flat,rugged,30,3.4973,1.3243,3.584,0.4279,0.1808,52.0563,9.6033
queen,phi,uncoupled,rugged,flat,30,7.3754,1.7696,7.4659,0.758,0.121,54.8532,11.5614
queen,phi,uncoupled,rugged,rugged,30,7.7249,1.5432,8.1015,0.7971,0.0754,56.2489,11.1493
spider,base,blf,flat,flat,30,8.4992,0.4894,8.6302,0.7837,0.0437,14.8633,15.6469
spider,base,blf,flat,rugged,30,6.5294,1.4239,6.7878,0.6569,0.1328,19.9199,14.8677
spider,base,blf,rugged,flat,30,7.8131,0.517,7.8618,0.7674,0.0471,17.7169,16.0883
spider,base,blf,rugged,rugged,30,7.8651,0.4407,7.8569,0.7764,0.0377,19.2831,15.5797
spider,phi,uncoupled,flat,flat,30,8.8671,0.5386,8.9456,0.8049,0.027,16.3683,14.5859
spider,phi,uncoupled,flat,rugged,30,6.9754,1.3656,7.2963,0.6949,0.1376,20.8682,13.2672
spider,phi,uncoupled,rugged,flat,30,8.2853,0.5628,8.4201,0.7765,0.0607,9.224,12.2932
spider,phi,uncoupled,rugged,rugged,30,8.2917,0.4876,8.3924,0.785,0.0482,11.9134,12.1365
